location,p_counts,min_price,max_price,mean_price
Canal Expressway,1,3764000,3764000,3764000.0
Canal Road,7,1800000,5360000,2983571.4285714286
Chak 208 Road,1,10000,10000,10000.0
Circular Road,1,3200000,3200000,3200000.0
D Ground,1,10100000,10100000,10100000.0
Eden Gardens,2,10000,15000,12500.0
Eden Valley,1,8000,8000,8000.0
Eid Gah Road,1,12000,12000,12000.0
Ghalib City,1,13000,13000,13000.0
Jhang Road,1,12000,12000,12000.0
Jinnah Colony,3,6000,4500000,1510333.3333333333
Kohinoor City,4,25000,3500000,1637500.0
Madina Town,2,1500000,1500000,1500000.0
Makkah Commercial Market,4,10000,15000,11750.0
Peoples Colony No 1,2,25000,8500000,4262500.0
Rabbani Colony,1,13500000,13500000,13500000.0
Rachna Town,1,16000,16000,16000.0
Samanabad,2,20000,20000,20000.0
Sargodha Road,1,3000,3000,3000.0
Susan Road,1,11000,11000,11000.0
Umer Garden,2,7000,25000,16000.0
Wapda City,5,35000,45000,39200.0
Zia Colony,1,35000,35000,35000.0
