location,p_counts,min_price,max_price,mean_price
204 Chak Road,8,35000,35000000,10179375.0
Abbaspur,1,7000,7000,7000.0
Abdullah City,2,8000000,20000000,14000000.0
Abdullahpur,9,16000,9000000,4537555.555555556
Afghanabad,5,3500000,9000000,6140000.0
Ahmadabad,12,25000,9000000,4935416.666666667
Air Avenue City,12,33000,20000000,7356083.333333333
Akbar Chowk,1,17500000,17500000,17500000.0
Al Barkat Villas,6,38000,19000000,11089666.666666666
Al Fayaz Colony,8,6500000,70000000,17262500.0
Al Jameel Housing Scheme,1,5000000,5000000,5000000.0
Al Masoom Town,2,7500000,7500000,7500000.0
Al Najaf Colony,26,10000,44000000,5783692.307692308
Al Noor Garden,95,18000,25000000,5267842.105263158
Al Rehmat Villas,3,2500000,5500000,4266666.666666667
Ali Garden,6,2500000,7000000,4700000.0
Ali Housing Colony,73,8000,13000000,1159698.6301369863
Ali Town,6,10000,11000000,4255000.0
Allama Iqbal Colony,7,2800000,15000000,6157142.857142857
Amin Town,35,30000,45000000,12512571.42857143
Amir Town,4,35000,50000000,20018750.0
Aqsa Town,1,27500000,27500000,27500000.0
Ayub Colony,11,20000,18000000,8008636.363636363
Baba Fareed Road,1,90000,90000,90000.0
Babuwala,3,5000000,8000000,6333333.333333333
Bakar Mandi Road,17,2700000,7500000,5292941.176470588
Bawa Chack 120 JB,8,2500000,16000000,7087500.0
Bilal Nagar,4,2200000,4200000,3100000.0
Bilal Road,1,1500000,1500000,1500000.0
Burj Mandi,2,2200000,3500000,2850000.0
Canal Expressway,9,7000000,16000000,10122222.222222222
Canal Garden,6,40000,20000000,7105833.333333333
Canal Park,10,40000,80000000,25779000.0
Canal Road,322,12000,200000000,14518118.01242236
Canal View Hosuing Scheme,1,15000000,15000000,15000000.0
Chak 208 RB Dogranwala,1,3500000,3500000,3500000.0
Chak 208 Road,9,45000,500000000,67238333.33333333
Chak 209 RB Akalgarh,12,20000,2500000,2003750.0
Chak 279/RB Kalan,2,3500000,9000000,6250000.0
Chak 8 JB Punj Garain,1,1400000,1400000,1400000.0
Chak Bahga,1,6000000,6000000,6000000.0
Chak Jhumra,4,2500000,11000000,6500000.0
Chen One Road,2,250000,650000,450000.0
Chenab Gardens,10,33000,25000000,14308300.0
Chibban,4,14000,21000000,7878500.0
Citi Housing Society,118,30000,17500000,1292847.4576271186
Civil Lines,18,600000,300000000,56700000.0
D Ground,27,18000,126000000,19408814.814814813
D Type Colony,23,15000,26000000,7085869.565217392
Daewoo Road,10,45000,20000000,6733500.0
Daniyal Town,7,2500000,5000000,3742857.1428571427
Defence Fort Housing Scheme,2,4500000,4800000,4650000.0
Dhandharan Chak 66 JB,4,15000,6500000,4003750.0
Dhanola,1,3500000,3500000,3500000.0
Dhudi Wala,8,3000000,20000000,6875000.0
Diglus Pura,2,20000,12000000,6010000.0
Dijkot Road,1,8530000,8530000,8530000.0
Eden Gardens,492,20000,50000000,3168609.9186991868
Eden Orchard,306,35000,25000000,10264885.620915033
Eden Valley,443,33000,52500000,13344259.593679458
Eid Gah Road,2,70000,80000,75000.0
FDA City,2,16000,5600000,2808000.0
Faisal Gardens,10,50000,35000000,7680000.0
Faisal Town,12,50000,20000000,6654583.333333333
Faisalabad Sangla Hill Road,1,4000000,4000000,4000000.0
