location,p_counts,min_price,max_price,mean_price
Abbaspur,1,7000,7000,7000.0
Al Fayaz Colony,12,12000,20000,14833.333333333334
Al Najaf Colony,7,16000,35000,26571.428571428572
Al Noor Garden,6,15000,23000,19166.666666666668
Al Rehmat Villas,1,22000,22000,22000.0
Ali Housing Colony,2,9000,28000,18500.0
Amin Town,1,55000,55000,55000.0
Amir Town,1,23000,23000,23000.0
Canal Road,18,18000,26000,21944.444444444445
Chenab Gardens,1,22000,22000,22000.0
College Road,1,25000,25000,25000.0
Eden Gardens,20,18000,65000,27950.0
Eden Valley,8,18000,40000,27625.0
Faisal Town,2,35000,45000,40000.0
Four Season Housing,12,20000,32000,27666.666666666668
Garden Colony,4,20000,20000,20000.0
Ghalib City,3,20000,26000,22666.666666666668
Green Town,1,13000,13000,13000.0
Gulberg,1,30000,30000,30000.0
Gulfishan Colony,1,25000,25000,25000.0
Hamza Villas,2,25000,25000,25000.0
Himat Pura,1,15000,15000,15000.0
Ideal Town,3,15000,19000,17666.666666666668
Imran Road,1,60000,60000,60000.0
Jaranwala Road,1,30000,30000,30000.0
Kashmir Road,1,16000,16000,16000.0
Kehkishan Colony No 2,1,15000,15000,15000.0
Khayaban Colony,6,20000,30000,27166.666666666668
Khayaban Colony 2,7,20000,45000,35428.57142857143
Khayaban Gardens,2,35000,35000,35000.0
Lahore - Sheikhupura - Faisalabad Road,1,22000,22000,22000.0
Lasani Town,1,15000,15000,15000.0
Madina Town,23,14000,45000,25304.347826086956
Makkah Commercial Market,1,7000,7000,7000.0
Manawala,1,10000,10000,10000.0
Mansoorabad,2,20000,20000,20000.0
Mian Zulfiqar Ali Shahid Road,5,14000,35000,18400.0
Millat Road,1,20000,20000,20000.0
Millat Town,1,15000,15000,15000.0
Muslim Town,3,18000,25000,20333.333333333332
Narwala Road,1,7500000,7500000,7500000.0
Nemat Colony No 1,6,20000,20000,20000.0
New Garden Town,2,13000,13000,13000.0
Officers Colony,10,15000,28000,24300.0
Others,19,7000,2280000,216000.0
Partab Nagar,1,18000,18000,18000.0
Peoples Colony No 1,19,20000,2280000,251578.94736842104
Peoples Colony No 2,2,40000,50000,45000.0
Rabbani Colony,1,19000,19000,19000.0
Rachna Town,7,8000,23000,13857.142857142857
Raza Abad,1,11000,11000,11000.0
Rehman Gardens,15,20000,35000,27933.333333333332
Rehman Town,1,18000,18000,18000.0
Rehman Villas,1,25000,25000,25000.0
Rehmania Town,6,18000,18000,18000.0
Riaz ul Jannah,2,25000,25000,25000.0
Saeed Colony,12,22000,35000,26583.333333333332
Samundari Road,4,25000,28000,25750.0
Sargodha Road,1,14000,14000,14000.0
Satellite Town,1,18000,18000,18000.0
Satiana Road,140,8000,35000,21471.428571428572
Shahbaz Town,1,8500,8500,8500.0
Susan Road,6,15000,15000,15000.0
Taj Colony,1,16000,16000,16000.0
Valencia Gardens,1,18000,18000,18000.0
Wapda City,4,32000,45000,35375.0
Yousaf Town,1,12000,12000,12000.0
