location,p_counts,min_price,max_price,mean_price
Amin Town,1,10000,10000,10000.0
Canal Road,4,10000,8000000,2010500.0
Civil Lines,2,5500,5500,5500.0
Eden Valley,3,7000,19000,12000.0
"Faisalabad, Punjab",1,15000,15000,15000.0
Gobind Pura,1,35000,35000,35000.0
Green View Colony,1,12000,12000,12000.0
Gulfishan Colony,1,15000,15000,15000.0
Gulshan Colony,1,9000,9000,9000.0
Jaranwala Road,3,25000,3800000,1286666.6666666667
Kohinoor City,12,12000,3500000,564458.3333333334
Kohinoor Town,1,16000,16000,16000.0
Madina Town,6,7000,15000,11666.666666666666
Muslim Town,2,10000,10000,10000.0
Narwala Road,1,10000,10000,10000.0
Others,3,6000,13000,8666.666666666666
Peoples Colony No 1,12,13000,25000,14000.0
Peoples Colony No 2,1,3000,3000,3000.0
Railway Road,1,10000,10000,10000.0
Rasool Park,1,5000,5000,5000.0
Rehmania Town,4,6000,7000,6500.0
Saeed Colony,31,10000,18000,14096.774193548386
Susan Road,1,12000,12000,12000.0
Tariqabad,2,5000,5000,5000.0
Wapda City,1,35000,35000,35000.0
