location,p_counts,min_price,max_price,mean_price
Abdullah City,1,25000,25000,25000.0
Abdullahpur,1,16000,16000,16000.0
Ahmadabad,1,10000,10000,10000.0
Akbar Chowk,1,20000,20000,20000.0
Akbar Colony,1,17000,17000,17000.0
Al Fayaz Colony,2,15000,15000,15000.0
Al Najaf Colony,2,15000,16000,15500.0
Al Noor Garden,10,16000,40000,26500.0
Ali Housing Colony,1,15000,15000,15000.0
Amin Town,2,10000,17500,13750.0
Bakar Mandi Road,1,15000,15000,15000.0
Canal Park,2,40000,40000,40000.0
Canal Road,20,17000,40000,23900.0
Chak 208 Road,4,17000,40000,27250.0
Chen One Road,1,22000,22000,22000.0
Chibban,1,10000,10000,10000.0
Citi Housing Society,2,28000,50000,39000.0
D Ground,2,15000,18000,16500.0
D Type Colony,2,8500,16000,12250.0
Daewoo Road,11,45000,45000,45000.0
Dilawar Colony,1,3500000,3500000,3500000.0
Eden Gardens,94,15500,42000,27319.14893617021
Eden Valley,23,18000,55000,32804.34782608696
Faisal Gardens,2,35000,45000,40000.0
Faisal Valley,1,35000,35000,35000.0
Four Season Housing,14,20000,32000,25357.14285714286
Gatwala Park Road,1,12000,12000,12000.0
Ghalib City,3,18000,20000,18666.666666666668
Green Town,3,12000,35000,19666.666666666668
Gulbahar Colony,12,24000,24000,24000.0
Gulberg,1,40000,40000,40000.0
Gulfishan Colony,5,11000,25000,14800.0
Gulistan Colony No 2,1,35000,35000,35000.0
Gulshan Rehman,4,22000,30000,26000.0
Gulshan e Madina,4,17000,150000,84250.0
Gulshan-e-Habib,1,21000,21000,21000.0
Gulshan-e-Rehman,1,20000,20000,20000.0
Haji Abad,1,11000,11000,11000.0
Hamza Villas,2,20000,20000,20000.0
Hassan Villas,1,20000,20000,20000.0
Ilahi Abad,1,12000,12000,12000.0
Illahi Abad,1,12000,12000,12000.0
Imran Road,1,30000,30000,30000.0
Jaranwala Road,2,18000,22000,20000.0
Jhang Road,4,10000,1350000,347750.0
Judicial Employees Coop Housing Society,1,20000,20000,20000.0
Kashmir Road,17,15000,45000,22117.647058823528
Kehkishan Colony No 2,1,43000,43000,43000.0
Khayaban Colony,20,20000,45000,32450.0
Khayaban Colony 2,18,18000,45000,27944.444444444445
Khayaban Gardens,2,38000,38000,38000.0
Kohinoor City,1,85000,85000,85000.0
Kohinoor Town,5,45000,60000,51000.0
Lahore - Sheikhupura - Faisalabad Road,1,12000,12000,12000.0
Lawyers Housing Society,1,45000,45000,45000.0
Liaquat Town,1,20000,20000,20000.0
Madina Town,62,12000,50000,30467.74193548387
Makkah Commercial Market,1,12000,12000,12000.0
Makkah Garden,6,18000,25000,22833.333333333332
Mansoorabad,3,10000,20000,16666.666666666668
Mian Zulfiqar Ali Shahid Road,2,16000,20000,18000.0
Millat Town,1,25000,25000,25000.0
Muslim Town,9,20000,50000,32000.0
Naveed Garden,1,22000,22000,22000.0
New Garden Town,2,40000,40000,40000.0
Officers Colony,15,15000,35000,27400.0
Others,24,5000,45000,17833.333333333332
Peoples Colony No 1,18,12000,32000,28722.222222222223
Peoples Colony No 2,5,13000,35000,20600.0
Rachna Town,10,10000,23000,15800.0
Raheem Gardens,1,15000,15000,15000.0
Raza Garden,2,18000,18000,18000.0
Rehman Gardens,20,20000,35000,28250.0
Rehman Town,5,20000,22000,20400.0
Rehman Villas,2,20000,20000,20000.0
Rehmania Town,4,10000,10000,10000.0
Riaz ul Jannah,4,17000,45000,34250.0
Saeed Colony,44,18000,55000,36727.27272727273
Samanabad,1,10000,10000,10000.0
Samundari Road,19,5000,35000,18394.736842105263
Sargodha Road,11,10000,25000,18272.727272727272
Satiana Road,132,5000,6200000,65886.36363636363
Shadab Colony,1,15000,15000,15000.0
Shadman Colony,10,40000,50000,41000.0
Shahbaz Town,2,7500,30000,18750.0
Sitara Sapna City,1,35000,35000,35000.0
Sitara Valley,2,21000,28000,24500.0
Suhail Abad,1,15000,15000,15000.0
Susan Road,12,25000,50000,27916.666666666668
Tariqabad,1,20000,20000,20000.0
Umer Garden,1,18000,18000,18000.0
Valencia Gardens,17,23000,28000,26117.647058823528
Wapda City,8,20500,55000,38437.5
Younas Town,3,10000,10000,10000.0
Yousaf Town,7,10000,20000,12857.142857142857
