location,fh_counts,fhmin_price,fhmax_price,fhmean_price
7th Avenue,1,120000,120000,120000.0
Agro Farming Scheme,1,95000000,95000000,95000000.0
Alipur Farash,1,45000000,45000000,45000000.0
Athal,1,130000000,130000000,130000000.0
B-17,2,15000000,29000000,22000000.0
Bahria Town,2,11000000,200000000,105500000.0
Bani Gala,17,50000,600000000,145745882.3529412
Bhara kahu,11,17500000,500000000,118045454.54545455
Chak Shahzad,44,80000,270000000,88105681.81818181
Chattar,2,180000,20000000,10090000.0
Chirah,1,300000000,300000000,300000000.0
Club Road,1,800000000,800000000,800000000.0
D-17,7,20000000,65000000,41357142.85714286
DHA Defence,1,4000000,4000000,4000000.0
E-16,2,20000000,22500000,21250000.0
F-6,1,120000,120000,120000.0
Fateh Jang Road,1,50000000,50000000,50000000.0
G-10,1,175000,175000,175000.0
G-11,1,24500000,24500000,24500000.0
G-13,1,26500000,26500000,26500000.0
G-9,1,950000,950000,950000.0
Ghauri Town,2,16000,16000,16000.0
Gulberg,67,400000,113000000,44356716.41791045
H-9,1,350000000,350000000,350000000.0
I-8,1,120000,120000,120000.0
Islamabad Expressway,1,15000000,15000000,15000000.0
Islamabad Highway,1,360000000,360000000,360000000.0
Kuri Road,1,250000000,250000000,250000000.0
Lehtarar Road,3,14000000,92500000,47166666.666666664
Malot,1,80000000,80000000,80000000.0
Margalla Town,1,200000000,200000000,200000000.0
Motorway Chowk,7,5000000,50000000,17714285.714285713
Multi Residencia & Orchards,2,12000000,12500000,12250000.0
Mumtaz City,1,65000000,65000000,65000000.0
Murree Road,1,220000000,220000000,220000000.0
Naval Anchorage,1,72500000,72500000,72500000.0
Naval Farms Housing Scheme,11,55000000,160000000,97272727.27272727
Orchard Scheme,4,850000,500000000,183212500.0
Pir Sohawa,1,50000000,50000000,50000000.0
Sangjani,1,70000000,70000000,70000000.0
Sehala Farm House,1,75000000,75000000,75000000.0
Shah Allah Ditta,3,35000000,58500000,49166666.666666664
Shah Dara,1,7000000,7000000,7000000.0
Simly Dam Road,16,9600000,450000000,104943750.0
Soan Garden,2,12000,91000000,45506000.0
Tarlai,7,70000,180000000,96438571.42857143
Thalian,1,10000000,10000000,10000000.0
Tumair,1,300000000,300000000,300000000.0
