location,h_counts,hmin_price,hmax_price,hmean_price
7th Avenue,20,40000,150000000,20111250.0
9th Avenue,11,48000,140000000,23285727.272727273
AGHOSH,5,25000000,35000000,30000000.0
Abdullah Garden,8,16000,14500000,8352000.0
Ahmed Town,1,8000000,8000000,8000000.0
Airline Avenue,1,13500000,13500000,13500000.0
Airport Avenue Housing Society,3,8000000,11000000,9566666.666666666
Airport Enclave,5,6500000,14000000,10740000.0
Aiza Garden,1,8500000,8500000,8500000.0
Akbar Town,1,25000,25000,25000.0
Al Huda Town,7,9000,21000000,6870571.428571428
Al Qaim Town,4,20000,4800000,1215000.0
Alhamra Avenue,1,12100000,12100000,12100000.0
Ali Pur,34,10000,29000000,4928764.705882353
Alipur Farash,28,1650000,12500000,5791071.428571428
Arsalan Town,22,10000,8000000,4843636.363636363
Athal,3,1600000,5200000,4000000.0
Atomic Energy Employee Society,1,13000000,13000000,13000000.0
Azmat Town,3,25000,8700000,3741666.6666666665
B-17,210,18000,130000000,15168628.57142857
Bahria Town,1166,25000,110000000,20595102.91595197
Bani Gala,860,15000,170000000,10279194.186046511
Bhara kahu,267,13000,86500000,9649752.808988765
Blue Area,2,25000000,180000000,102500000.0
Bokra Road,2,30000,13000000,6515000.0
Burma Town,68,13000,9500000,4122720.588235294
C-18,11,1500000,9500000,7363636.363636363
C-19,1,4700000,4700000,4700000.0
CBR Town,285,23000,50000000,16161975.43859649
Capital Enclave,2,45000,26000000,13022500.0
Chak Shahzad,24,30000,36000000,11182208.333333334
Chatha Bakhtawar,61,20000,60000000,7716655.737704918
Chattar,3,7500000,40000000,22500000.0
City Garden,2,70000000,70000000,70000000.0
D-12,347,26000,105000000,22722040.345821325
D-13,4,3600000,15000000,6900000.0
D-14,4,3700000,7500000,4750000.0
D-17,109,20000,90000000,14899816.513761468
D-18,6,15000000,33000000,23750000.0
DHA Defence,1984,12000,80000000,17237652.217741936
Dhok Chaudhrian,6,20000,12000000,9086666.666666666
E-11,695,18000,170000000,25687473.381294966
E-12,1,29500000,29500000,29500000.0
E-14,8,3800000,13000000,6600000.0
E-16,4,4800000,16000000,10825000.0
E-18,15,22000,29500000,10941466.666666666
E-7,160,65000,450000000,64513931.25
Emaar Canyon Views,34,68000,55000000,25978911.76470588
Embassy Road,4,350000,180000000,135087500.0
Engineering Co-operative Housing (ECHS),2,40000,32500000,16270000.0
F-10,992,40000,250000000,30348425.403225806
F-11,603,45000,210000000,35376953.5655058
F-15,29,65000,50000000,25066896.55172414
F-17,172,21000,40000000,17379848.837209303
F-6,775,100000,900000000,44152931.61290322
F-7,1238,35000,550000000,37046249.59612278
F-8,1050,30000,360000000,37944559.047619045
FECHS,184,15000,27000000,8252396.739130435
Faisal Town - F-18,25,5200000,18500000,15104000.0
Fateh Jang Road,6,2800000,28000000,8925000.0
Frash Town,5,2500000,4500000,3640000.0
G-10,304,28000,100000000,21705437.5
G-11,481,18000,285000000,23085467.775467776
G-12,2,6500000,8000000,7250000.0
G-13,1573,54,90000000,15059966.976478068
G-14,85,40000,90000000,18393411.76470588
G-15,490,22000,80000000,15370634.693877552
G-16,8,50000,52500000,17348125.0
G-6,111,50000,500000000,59262342.34234234
G-7,14,16000,85000000,46477214.28571428
G-8,97,35000,60000000,22671958.7628866
G-9,330,30000,125000000,24703230.303030305
Garden Town,12,16000,15500000,7093000.0
Ghauri Town,745,10000,37500000,7386482.55033557
Golra Mor,10,20000,19500000,7968000.0
Golra Road,3,2200000,42500000,28233333.333333332
Green Avenue,48,23000,67500000,16429125.0
Gulberg,21,25000,33500000,13599285.714285715
Gulshan-e-Khudadad,12,3500000,12500000,8841666.666666666
H-11,1,15000000,15000000,15000000.0
H-13,171,17500,350000000,11170260.233918129
H-15,7,2800000,20000000,7942857.142857143
H-8,1,100000,100000,100000.0
H-9,2,24000000,42500000,33250000.0
I-10,439,12000,37500000,14035169.703872437
I-11,3,11000000,17000000,13666666.666666666
I-12,5,7000000,170000000,41340000.0
I-13,25,25000,22500000,7896160.0
I-14,121,20000,25000000,11195652.892561983
I-16,2,12500000,100000000,56250000.0
I-8,839,22000,140000000,36324548.27175209
I-9,74,20000,32500000,16738243.243243244
IJP Road,5,17000,55000000,18703400.0
Iqbal Town,6,3500000,25000000,14166666.666666666
Islamabad - Murree Expressway,12,50000,23000000,8662500.0
Islamabad Enclave,1,400000,400000,400000.0
Islamabad Expressway,15,20000,23500000,9940933.333333334
Islamabad Highway,13,2550000,26500000,9580769.23076923
Islamabad View Valley,1,7000000,7000000,7000000.0
Jagiot Road,1,3100000,3100000,3100000.0
Japan Road,2,3500000,3500000,3500000.0
Jhang Syedan,15,12000,10000000,4269133.333333333
Jhangi Syedan,36,15000,18500000,5051263.888888889
Jinnah Avenue,1,25000000,25000000,25000000.0
Judicial Town,4,60000,30000000,13640000.0
Kahuta Road,1,4200000,4200000,4200000.0
Kashmir Highway,21,4000000,350000000,45071428.571428575
Khanna Pul,26,20000,15000000,6364230.769230769
Khayaban-e-Iqbal,1,700000,700000,700000.0
Koral Chowk,23,12000,8200000,4343217.391304348
Koral Town,12,15000,22000000,6774833.333333333
Korang Town,113,28000,45000000,16063469.026548672
Kuri,2,10000000,11000000,10500000.0
Kuri Model Town,2,9500000,23000000,16250000.0
Kuri Road,42,13000,39500000,12813119.047619049
Lehtarar Road,49,15000,92500000,7430285.714285715
Madina Town,11,18000,10500000,5338000.0
Margalla Town,35,20000,30000000,11032028.57142857
Marwa Town,16,3500000,19000000,6343125.0
Meherban Colony,11,28000,150000000,20783000.0
Model Town,2,9000000,16000000,12500000.0
Motorway Chowk,10,35000,12500000,7473500.0
Multi Residencia & Orchards,6,7500000,11500000,10083333.333333334
Mumtaz City,4,8600000,40000000,19275000.0
Murree Road,5,5500000,80000000,22800000.0
NIH Colony,6,160000,40000000,15586666.666666666
National Police Foundation,55,28000,165000000,18234090.90909091
National Police Foundation O-9,150,19000,40000000,13650880.0
Naval Anchorage,90,12350,105000000,18669126.111111112
Naval Farms Housing Scheme,3,75000000,160000000,106666666.66666667
Nazim-ud-din Road,1,500000,500000,500000.0
New Shakrial,7,17000,12000000,5602428.571428572
OPF Valley,1,2800000,2800000,2800000.0
Others,3,290000,9000000,3280000.0
PAEC Employees Cooperative Housing Society,9,5500000,11000000,8333333.333333333
PAF Tarnol,4,35000,12500000,3163750.0
PECHS,2,8500000,14000000,11250000.0
PTV Colony,1,4500000,4500000,4500000.0
PWD Housing Scheme,309,20000,52000000,11857482.20064725
PWD Road,17,1,140000000,28774411.82352941
Pakistan Intelligence Bureau Housing Society,3,9000000,15000000,11833333.333333334
Pakistan Town,240,20000,130000000,12232391.666666666
Park Enclave,1,110000,110000,110000.0
Park Road,22,60000,60000000,12241136.363636363
Park View City,17,12500000,80000000,28500000.0
Partal Town,4,2700000,6000000,3850000.0
Phulgran,3,7000000,9500000,8333333.333333333
Pindorian,5,2700000,7600000,4910000.0
Pir Sohawa,6,300000,52000000,23633333.333333332
Police Foundation Housing Society,6,42000,16000000,9590333.333333334
Qutbal Town,5,2800000,8000000,6020000.0
Raja Akhtar Road,4,100000,29000000,15775000.0
Rawal Enclave,2,4000000,5500000,4750000.0
Rawal Town,7,6000000,45000000,27071428.57142857
River Garden,13,20000,34000000,12085461.538461538
Royal Avenue,16,35000,50000000,13533437.5
Royal City,6,17000,9500000,5752833.333333333
Sangjani,1,9900000,9900000,9900000.0
Sarai Kharbuza,7,1700000,6500000,4425000.0
Shah Allah Ditta,12,3000000,42500000,17050000.0
Shah Dara,1,60000000,60000000,60000000.0
Shaheen Town,45,10000,20000000,7084622.222222222
Shahpur,11,35000,11500000,5713181.818181818
Shehzad Town,16,17000,27000000,8164937.5
Sihala,1,15500000,15500000,15500000.0
Sihala Valley,1,3700000,3700000,3700000.0
Simly Dam Road,12,2600000,26000000,7641666.666666667
Soan Garden,458,18000,45000000,11282092.70742358
Sohan Valley,7,3000000,13000000,7150000.0
Spring Valley,9,14000,25000000,6334333.333333333
Swan Garden,22,40000,25000000,10004272.727272727
Taramrri,27,8000,10500000,4936851.851851852
Tarlai,27,12000,12000000,4499925.925925926
Tarnol,36,7500,37500000,8084513.888888889
Thalian,2,925000,9500000,5212500.0
Thanda Pani,22,18000,17500000,4612181.818181818
Tumair,2,2200000,4000000,3100000.0
University Town,1,10000000,10000000,10000000.0
Wapda Town,2,6800000,7000000,6900000.0
Zaraj Housing Scheme,45,45000,38000000,20214000.0
Zone 5,2,17000000,20000000,18500000.0
