location,Property_counts,mean_price,min_price,max_price
12th Avenue,3731,7530000.0,40000,30000000
7th Avenue,2760,9427447.916666666,5000,150000000
9th Avenue,2596,9789000.0,10000,140000000
AGHOSH,2506,25005833.333333332,35000,35000000
Abdullah Garden,1791,6685900.0,16000,14500000
Agha Shahi Avenue,1646,17500.0,10000,25000
Agro Farming Scheme,1629,95000000.0,95000000,95000000
Ahmed Town,1617,8000000.0,8000000,8000000
Airline Avenue,1460,13500000.0,13500000,13500000
Airport Avenue Housing Society,1388,7181250.0,25000,11000000
Airport Enclave,1243,10740000.0,6500000,14000000
Aiza Garden,1213,8500000.0,8500000,8500000
Akbar Town,1026,25000.0,25000,25000
Al Huda Town,927,6012437.5,5500,21000000
Al Qaim Town,898,1215000.0,20000,4800000
Alhamra Avenue,716,12100000.0,12100000,12100000
Ali Pur,636,4656055.555555556,10000,29000000
Alipur Farash,627,6682838.70967742,6000,45000000
Arsalan Town,596,4843636.363636363,10000,8000000
Ataturk Avenue,565,45000.0,45000,45000
Athal,538,35500000.0,1600000,130000000
Atomic Energy Employee Society,505,13000000.0,13000000,13000000
Azmat Town,413,3741666.6666666665,25000,8700000
B-17,409,7665542.750929368,10000,130000000
Bahria Town,351,15914034.376918355,13000,200000000
Bani Gala,317,9183743.765084473,7000,600000000
Bhara kahu,314,12492557.324840764,6000,500000000
Blue Area,273,20205333.333333332,18000,180000000
Bokra Road,257,6515000.0,30000,13000000
Burma Town,244,3991577.4647887326,12000,9500000
C-14,226,45000.0,45000,45000
C-18,187,6333333.333333333,1500000,9500000
C-19,171,4700000.0,4700000,4700000
CBR Town,170,13147800.56980057,8000,50000000
Capital Enclave,165,10151250.0,45000,26000000
Central Avenue,160,50000.0,50000,50000
Chak Shahzad,150,51488308.641975306,10000,270000000
Chatha Bakhtawar,143,5355034.090909091,4000,60000000
Chattar,115,7618625.0,21000,40000000
Chirah,92,300000000.0,300000000,300000000
City Garden,91,70000000.0,70000000,70000000
Club Road,88,800000000.0,800000000,800000000
D-12,83,13507229.865771811,15000,105000000
D-13,82,6900000.0,3600000,15000000
D-14,81,4750000.0,3700000,7500000
D-17,80,9105077.821011674,8000,90000000
D-18,78,13144090.909090908,12000,33000000
DHA Defence,72,10320461.803805951,8000,80000000
Dhok Chaudhrian,71,7791714.285714285,20000,12000000
Diplomatic Enclave,65,10948818.713450292,40000,100500000
E-11,60,7596978.260869565,5000,170000000
E-12,56,12079333.333333334,38000,29500000
E-14,50,5681800.0,18000,13000000
E-16,48,12657142.857142856,2800000,22500000
E-18,48,9768352.94117647,22000,29500000
E-7,39,55219647.058823526,65000,450000000
Emaar Canyon Views,38,25978911.76470588,68000,55000000
Embassy Road,38,109870000.0,350000,180000000
Engineering Co-operative Housing (ECHS),37,6917200.0,23000,32500000
F-10,36,20677440.321583178,10000,250000000
F-11,35,14915138.749302065,11000,210000000
F-15,35,12320350.0,30000,50000000
F-17,34,12813047.131147541,12000,40000000
F-6,34,38183289.53229399,23000,900000000
F-7,34,33056570.60518732,1000,550000000
F-8,32,28682885.616438355,9000,360000000
F-9,31,25125000.0,250000,50000000
FECHS,31,5067522.082018928,10000,27000000
Faisal Town - F-18,31,12721571.42857143,2500000,18500000
Fateh Jang Road,30,13156250.0,1700000,50000000
Federal Government Employees Housing Foundation,30,24000.0,24000,24000
Frash Town,29,3640000.0,2500000,4500000
G-10,29,10954020.733652312,9000,100000000
G-11,29,9203160.388821386,8000,285000000
G-12,28,2426833.3333333335,12000,8000000
G-13,27,9708659.438946528,54,90000000
G-14,27,9834100.0,10000,90000000
G-15,24,7887303.792250618,7000,80000000
G-16,22,4658266.666666667,12000,52500000
G-5,22,8070352.94117647,45000,50000000
G-6,22,43865960.0,18000,500000000
G-7,21,21383735.29411765,10000,85000000
G-8,21,13933215.151515152,8500,60000000
G-9,20,14536069.026548672,14000,125000000
GT Road,19,4151450.0,26000,10000000
Garden Town,19,6548538.461538462,15000,15500000
Ghauri Town,18,6101103.55987055,6000,95400000
Golra Mor,18,7516363.636363637,20000,19500000
Golra Road,17,21179250.0,17000,42500000
Green Avenue,17,9632609.75609756,22000,67500000
Green Hills Housing Scheme,17,22000.0,22000,22000
Gulberg,17,11527988.118811881,22000,113000000
Gulshan-e-Khudadad,16,6643684.2105263155,12000,15000000
H-11,16,10000000.0,5000000,15000000
H-12,16,4404285.714285715,35000,8500000
H-13,15,6485556.900726392,8000,350000000
H-15,15,7942857.142857143,2800000,20000000
H-8,15,100000.0,100000,100000
H-9,15,138833333.33333334,24000000,350000000
I-10,14,6031760.721247563,8000,37500000
I-11,14,5677071.428571428,20000,17000000
I-12,13,14098333.333333334,1500000,170000000
I-13,13,6372483.870967742,16000,22500000
