location,p_counts,min_price,max_price,mean_price
Bahria Town Karachi,21,25000000,140000000,62738095.23809524
Bin Qasim Town,4,20000,120000000,30036250.0
DHA City Karachi,7,15000,70000000,34573571.428571425
DHA Defence,1,25000,25000,25000.0
Damba,2,28000,45000,36500.0
Dhabeji,2,20000,25000000,12510000.0
Gadap Road,1,0,0,0.0
Gadap Town,5,12500000,35000000,19100000.0
Garden West,1,4000000,4000000,4000000.0
Karachi Motorway,1,26000000,26000000,26000000.0
Kemari Town,1,8000000,8000000,8000000.0
Malir Link To Super Highway,1,15000,15000,15000.0
National Highway,2,25000000,150000000,87500000.0
Northern Bypass,1,2200000,2200000,2200000.0
Saddar Town,1,11000000,11000000,11000000.0
Scheme 45,6,700000,4500000,2600000.0
Super Highway,17,35000,45000000,17799117.647058822
