location,p_counts,min_price,max_price,mean_price
ASF Housing Scheme,3,2800000,5800000,3885333.3333333335
ASF Tower,13,1700000,8500000,5461538.461538462
Abdullah Ahmed Road,1,5000000,5000000,5000000.0
Abdullah Haroon Road,2,12500000,50000000,31250000.0
Abid Town,10,23000,13000000,5492900.0
Abul Hassan Isphani Road,109,15000,20000000,4687788.9908256885
Ahsan Grand City,1,52000,52000,52000.0
Airport,70,30000,19500000,14200928.57142857
Aisha Manzil,38,18000,18000000,8271315.7894736845
Al-Hilal Society,7,7500000,26000000,14857142.857142856
Al-Jadeed Residency,3,3600000,4600000,4066666.6666666665
Al-Safaa Garden,2,3500000,8000000,5750000.0
Allama Iqbal Town,1,17000000,17000000,17000000.0
Amil Colony,5,70000,25000000,10414000.0
Amir Khusro,8,35000,13000000,6927625.0
Anda Mor Road,8,2700000,6900000,4837500.0
Azam Town,7,4000000,5500000,4792857.142857143
BMCHS,6,45000,30000000,10680833.333333334
Bagh-e-Korangi,2,11500000,46000000,28750000.0
Bahria Town Karachi,3042,16000,78000000,7577306.54174885
Baldia Town,1,6000000,6000000,6000000.0
Baloch Colony,12,50000,23500000,12237500.0
Bath Island,276,35000,65000000,26461557.971014492
Bin Qasim Town,15,12000,5000000,2690800.0
Blue Bell Residency,1,55000000,55000000,55000000.0
Britto Road,10,35000,27000000,9012700.0
Cantt,991,16000,118500000,18801627.648839556
Catholic Colony,3,11500000,21000000,15000000.0
Chapal Courtyard,4,3200000,10000000,6425000.0
Chapal Skymark,1,40000000,40000000,40000000.0
Civil Lines,205,40000,225000000,24200731.707317073
Clifton,1479,18000,107700000,16018727.856659906
Cosmopolitan Society,18,45000,35000000,16128333.333333334
Cotton Export Cooperative Housing Society,4,5200000,8000000,7050000.0
Cutchi Memon Cooperative Housing Society,4,14500000,23000000,20750000.0
DHA City Karachi,12,15000,14300000,8355000.0
DHA Defence,4391,10000,122500000,10206130.04099294
Dalmia Cement Factory Road,3,17000000,27500000,22500000.0
Damba,1,57000,57000,57000.0
Dastgir Colony,10,3200000,6000000,4230000.0
Defence Garden,6,13000,35000000,16252166.666666666
Defence View Society,88,16000,30000000,7447545.454545454
Delhi Colony,99,9000,17500000,3859434.3434343436
Diamond City,3,3500000,5000000,4433333.333333333
Dr Daud Pota Road,2,7000000,30500000,18750000.0
Erum Villas,1,5000000,5000000,5000000.0
Etawa Society,2,3500000,3500000,3500000.0
Falaknaz Dynasty,3,1300000,7200000,3666666.6666666665
Falaknaz Presidency,18,1360000,15000000,7536666.666666667
Fazaia Housing Scheme,104,3000000,11200000,5779826.923076923
Federal B Area,644,9500,45000000,6293065.217391305
Frere Town,214,45000,60000000,19322415.887850467
Gadap Road,1,4500000,4500000,4500000.0
Gadap Town,1043,10000,15000000,3124972.895493768
Garden West,213,7000,40000000,7274032.863849766
Gizri,109,17000,35000000,6505422.110091743
Gizri Road,8,4000000,10000000,7612500.0
Gobal Town,1,6500000,6500000,6500000.0
Golimar,25,2100000,12500000,9320000.0
Goth Ibrahim Haidri,1,12000000,12000000,12000000.0
Gulberg Town,54,15000,15000000,4829481.481481481
Gulistan-e-Jauhar,3517,7000,41500000,7030332.9542223485
Gulshan-E-Faisal,1,125000,125000,125000.0
Gulshan-e-Amin,5,25000,9800000,6165000.0
Gulshan-e-Ghazian,1,4000000,4000000,4000000.0
Gulshan-e-Iqbal Town,2461,10000,70000000,8499937.626980903
Gulshan-e-Millat,1,2650000,2650000,2650000.0
Gulshan-e-Umair,1,12000000,12000000,12000000.0
Guru Mandir Chorangi,11,32000,22500000,12279272.727272727
Hill Park,24,35000,36000000,16234208.333333334
Hoshang Road,1,17000000,17000000,17000000.0
Hub River Road,1,5500000,5500000,5500000.0
I. I. Chundrigar Road,2,4800000,5000000,4900000.0
Intelligence Colony,2,4000000,9200000,6600000.0
Jamaluddin Afghani Road,1,15000000,15000000,15000000.0
Jamshed Road,163,20000,32000000,8504073.619631901
Jamshed Town,635,12000,47500000,12744123.77952756
Jinnah Avenue,182,22000,24500000,11486829.67032967
KDA Scheme 1,37,55000,60000000,24899405.405405406
Kamran Chowrangi,13,3000000,19500000,10676923.076923076
Karachi Motorway,5,3400000,6400000,4480000.0
Kashmir Colony,5,1500000,4500000,2700000.0
Kashmir Road,11,50000,35000000,13791363.636363637
Kemari Town,3,2600000,4000000,3200000.0
Khalid Bin Walid Road,140,45000,50000000,20236892.85714286
Khaliq-uz-Zaman Road,8,100000,85000000,36450000.0
Khayaban-e-Ittehad Road,12,33000,20000000,3420916.6666666665
Khudadad Colony,9,20000,8500000,3236666.6666666665
Korangi,338,8000,16500000,2196207.100591716
Korangi Road,14,24000,30000000,7341000.0
Lalukhet,3,10000,2500000,1336666.6666666667
Landhi,1,15000,15000,15000.0
