location,p_counts,min_price,max_price,mean_price
APP Employees Co-operative Housing Society,2,39000000,39000000,39000000.0
ASF Housing Scheme,1,7000000,7000000,7000000.0
Abdullah Ahmed Road,2,2900000,130000000,66450000.0
Abdullah Haroon Road,5,400000,30000000,10880000.0
Abid Town,7,28000,28000000,14932571.42857143
Abul Hassan Isphani Road,39,35000,106500000,17881717.948717948
Airport,25,18000,65000000,12903600.0
Aisha Manzil,6,30000,100000000,27755000.0
Al-Hilal Society,3,2500000,70000000,45833333.333333336
Al-Jadeed Residency,3,10500000,18000000,14500000.0
Al-Manzar Society,5,3500000,13500000,9800000.0
Allama Iqbal Town,1,80000000,80000000,80000000.0
Altaf Hussain Road,1,7000000,7000000,7000000.0
Amil Colony,2,50000000,75000000,62500000.0
Amir Khusro,14,200000,105000000,57721428.571428575
Anda Mor Road,11,35000,17000000,11421363.636363637
Azam Town,11,9000000,30000000,17145454.545454547
Bagh-e-Korangi,19,4500000,27500000,11447368.421052631
Bahria Town Karachi,5483,22000,250000000,13156527.90443188
Baldia Town,26,1350000,45000000,6280769.230769231
Baloch Colony,8,60000,130000000,52532500.0
Bath Island,48,100000,152600000,39622291.666666664
Bilal Town,2,9500000,12500000,11000000.0
Bin Qasim Town,204,10000,60000000,10290377.450980391
Blue Bell Residency,1,6000000,6000000,6000000.0
Cantt,574,25000,450000000,50429994.773519166
Chapal Courtyard,2,18000000,26000000,22000000.0
Chapal Skymark,1,42500000,42500000,42500000.0
Chapal Uptown,5,7470000,11000000,8634000.0
Civil Lines,5,24900000,38000000,29580000.0
Clifton,352,30000,1000000000,49981161.93181818
Cotton Export Cooperative Housing Society,3,7300000,15000000,12100000.0
Cutchi Memon Cooperative Housing Society,4,178600000,270000000,224300000.0
DHA City Karachi,7,85000,190000000,82908571.42857143
DHA Defence,5286,1,700000000,80946576.99962164
Dalmia Cement Factory Road,6,2200000,24000000,8033333.333333333
Darul Aman Society,3,70000000,180000000,140000000.0
Dastgir Colony,20,2000000,35000000,19190000.0
Defence View Society,49,25000,108000000,23944591.836734693
Delhi Colony,2,5500000,6000000,5750000.0
Diamond City,16,4700000,35000000,11012500.0
Etawa Society,26,9000000,27000000,15850000.0
Falaknaz Presidency,2,7300000,15000000,11150000.0
Falcon Complex Faisal,14,135000,120000000,82630357.14285715
Fazaia Housing Scheme,76,6243000,60000000,9545157.894736841
Federal B Area,723,11000,230000000,28925998.616874136
Gadap Town,1905,8000,125000000,10323654.593175853
Garden West,3,10000000,25000000,15000000.0
Gizri,4,190000,75000000,26172500.0
Gizri Road,1,65000000,65000000,65000000.0
Golimar,12,3200000,22000000,8591666.666666666
Gujjar Chowk,2,5500000,15000000,10250000.0
Gulberg Town,48,2400000,75000000,25312500.0
Gulistan-e-Jauhar,1397,1,150000000,27939921.976377953
Gulistan-e-Malir,2,5500000,6000000,5750000.0
Gulshan-e-Areesha,4,13500000,15000000,14375000.0
Gulshan-e-Iqbal Town,1116,4,540000000,44942269.71684588
Gulshan-e-Jami,1,20000000,20000000,20000000.0
Gulshan-e-Malir,1,5500000,5500000,5500000.0
Gulshan-e-Millat,7,4600000,13500000,8492857.142857144
Gulshan-e-Umair,3,30000,12500000,8010000.0
Gulshan-e-Usman Housing Society,10,7100000,12500000,10050000.0
Guru Mandir Chorangi,1,40000,40000,40000.0
Hassan Goth,14,1500000,50000000,5185714.285714285
Hawks Bay Scheme 42,4,2800000,40000000,14200000.0
Hill Park,21,35000,80000000,36380952.38095238
Hub River Road,5,1500000,12500000,10000000.0
Humaira Town,1,9500000,9500000,9500000.0
I. I. Chundrigar Road,1,12000000,12000000,12000000.0
Intelligence Colony,1,5000000,5000000,5000000.0
Jamaluddin Afghani Road,1,70000,70000,70000.0
Jamshed Road,8,150000,68000000,17456250.0
Jamshed Town,415,32000,480000000,69790638.55421686
Javed Bahria Coopretive Housing Society,2,25000000,48500000,36750000.0
Jinnah Avenue,12,45000,75000000,25412083.333333332
KDA Scheme 1,56,100000,1450000000,170846071.42857143
Kamran Chowrangi,3,13500000,19500000,15666666.666666666
Karachi Golf City,1,4950000,4950000,4950000.0
Karachi Motorway,17,2900000,14400000,8541176.470588235
"Karachi, Sindh",1,12000000,12000000,12000000.0
Kashmir Colony,5,3800000,15000000,7880000.0
Kashmir Road,6,350000,200000000,68825000.0
Kemari Town,10,3500000,250000000,32450000.0
Khalid Bin Walid Road,9,40000,100000000,43921111.11111111
Khayaban-e-Ittehad Road,9,250000,170000000,72305555.55555555
Khuda Ki Basti,16,1400000,8000000,2756250.0
Khudadad Colony,3,26000000,26000000,26000000.0
Korangi,434,10000,100000000,11561244.239631336
Korangi Road,20,28000,45000000,10676400.0
Lalukhet,3,3500000,30000000,13000000.0
Landhi,68,10000,52000000,7610911.764705882
Liaquat Avenue,1,8000000,8000000,8000000.0
Liaquatabad,97,12000,42500000,11321257.731958764
Lines Area,4,1300000,27500000,9950000.0
Lyari Expressway,12,1000000,4200000,2462500.0
Lyari Town,1,20000000,20000000,20000000.0
MT Khan Road,3,4000000,8300000,6433333.333333333
Malir,981,10000,165000000,22856467.889908258
Malir Housing Scheme 1,2,72500000,77500000,75000000.0
Malir Link To Super Highway,4,6900000,40000000,22725000.0
Manghopir Road,11,22000,9000000,5620181.818181818
Mangopir,2,2300000,8200000,5250000.0
Manzoor Colony,32,45000,57500000,12326406.25
Maskan Chowrangi,2,11200000,12000000,11600000.0
Mauripur Road,1,3500000,3500000,3500000.0
Mehmoodabad,48,30000,31000000,12311041.666666666
Muslimabad Society,10,170000,400000000,112267000.0
National Highway,9,3800000,13000000,6800000.0
Naval Colony,17,2800000,35000000,11932352.94117647
Naval Housing Scheme,28,140000,150000000,72938214.28571428
Navy Housing Scheme Karsaz,111,125000,350000000,75816297.2972973
Naya Nazimabad,100,22000,23500000,11412160.0
Nazimabad,219,16000,350000000,36905643.83561644
New Karachi,236,10000,40000000,8378055.084745763
North Karachi,1448,12000,100000000,15254840.814917127
North Nazimabad,987,20000,260000000,44123178.31813577
Northern Bypass,54,2600000,12500000,8794444.444444444
Old Clifton,5,400000,110000000,22940000.0
Old Ravians Co-Operative Housing Society,4,12000000,45000000,34250000.0
Orangi Town,125,10000,75000000,5587860.0
Others,3,15000000,31000000,20333333.333333332
P & T Colony,7,18000,30000000,14216857.142857144
PAF Housing Scheme,4,68000000,140000000,87000000.0
PTV Society,13,8000000,13500000,11461538.461538462
Pakistan Chowk,1,22000000,22000000,22000000.0
Peoples Colony,1,8200000,8200000,8200000.0
Police Society,6,28000,42500000,17095500.0
Punjab Colony,1,2000000,2000000,2000000.0
Qayyumabad,4,16000,22000000,6684000.0
Rashid Minhas Road,13,35000,45000000,13738076.923076924
Royal Defence Tower,1,30000,30000,30000.0
Rufi Rose Petals,2,15000000,15000000,15000000.0
Saadi Road,35,40000,26500000,10264000.0
Saddar Town,9,2200000,30000000,11733333.333333334
Saima Luxury Homes,22,29000,22000000,9883704.545454545
Scheme 33,1413,18000,65000000,18668898.089171976
Scheme 45,24,2500000,12500000,6091333.333333333
Sea View Apartments,2,105000,35000000,17552500.0
Shadman 2,6,17000000,27500000,22166666.666666668
Shah Faisal Town,97,12000,52500000,12302164.948453609
Shah Rasool Colony,2,14000000,180000000,97000000.0
Shah Town,3,5350000,13000000,8283333.333333333
Shaheed Millat Road,17,255000,222000000,53891470.5882353
Shahra-e-Faisal,94,38000,300000000,22535191.489361703
Shahra-e-Qaideen,4,700000,12000000,3537500.0
Shahra-e-Usman,1,2700000,2700000,2700000.0
Shahrah-e-Pakistan,2,23000000,230000000,126500000.0
Sindh Industrial Trading Estate (SITE),20,13000,30000000,9134450.0
Siraj-ud-Daula Road,2,160000000,300000000,230000000.0
Stadium Road,7,43000000,200000000,163285714.2857143
State Bank of Pakistan Staff Co-Operative Housing Society,1,15000000,15000000,15000000.0
Suparco Road,6,1600000,15000000,9600000.0
Super Highway,19,25000,23500000,7331578.947368421
Surti Muslim Co-Operative Housing Society,2,30500000,34000000,32250000.0
Tariq Road,12,80000,300000000,60165000.0
Teacher Society,6,28000,34000000,17679666.666666668
Tipu Sultan Road,10,75000,82500000,26172500.0
University Road,23,18000,80000000,24068608.695652176
Zamzama,39,195000,460000000,100587820.51282051
circular road,3,6000000,14000000,9666666.666666666
