location,p_counts,min_price,max_price,mean_price
Abid Town,2,25000,40000,32500.0
Abul Hassan Isphani Road,5,20000,5500000,1119800.0
Aisha Manzil,2,6000000,8300000,7150000.0
Al-Hilal Society,4,23000,35000000,8776250.0
Amir Khusro,15,45000,70000000,10419733.333333334
Anda Mor Road,1,9500000,9500000,9500000.0
BMCHS,1,70000,70000,70000.0
Baldia Town,3,5000,4500000,1505666.6666666667
Baloch Colony,3,40000,15000000,5030000.0
Bath Island,8,85000,145000,108125.0
Beaumont Road,1,16000,16000,16000.0
Bin Qasim Town,2,18000,30000,24000.0
Cantt,14,30000,8500000,1152000.0
Clifton,33,60000,42500000,6398787.878787879
Cosmopolitan Society,2,27500000,35000000,31250000.0
DHA City Karachi,1,130000,130000,130000.0
DHA Defence,409,45000,6500000,137053.78973105134
Dastgir Colony,6,10000,7000000,2726333.3333333335
Defence View Society,6,30000,7800000,1326333.3333333333
Delhi Colony,1,30000,30000,30000.0
Falaknaz Presidency,1,13500000,13500000,13500000.0
Federal B Area,315,15000,32500000,4153084.126984127
Gadap Town,39,10000,28500000,1804615.3846153845
Gizri,1,18000,18000,18000.0
Gizri Road,1,32000,32000,32000.0
Gulberg Town,15,24000,9500000,4516533.333333333
Gulistan-e-Jauhar,395,8000,26500000,5414924.050632912
Gulshan-e-Areesha,3,22000,23000,22333.333333333332
Gulshan-e-Iqbal Town,353,14000,50000000,5007756.373937677
Gulshan-e-Malir,1,6000000,6000000,6000000.0
Hill Park,1,30000,30000,30000.0
Jamshed Road,2,36000000,36000000,36000000.0
Jamshed Town,121,25000,45000000,15379000.0
Jinnah Avenue,1,60000,60000,60000.0
KDA Scheme 1,4,36000,165000,104000.0
Kashmir Road,1,27000000,27000000,27000000.0
Khalid Bin Walid Road,10,35000,45000000,13498000.0
Korangi,11,22000,8500000,1027909.0909090909
Korangi Road,4,25000,160000,58750.0
Lalukhet,1,2500000,2500000,2500000.0
Liaquatabad,16,28000,5500000,3101750.0
Lyari Town,1,8200000,8200000,8200000.0
Malir,71,10000,14000000,1874838.028169014
Malir Housing Scheme 1,1,16000,16000,16000.0
Malir Link To Super Highway,1,35000,35000,35000.0
Mehmoodabad,8,15000,7500000,2098375.0
National Highway,1,2500000,2500000,2500000.0
Naval Housing Scheme,1,80000,80000,80000.0
Navy Housing Scheme Karsaz,13,80000,125000,87769.23076923077
Nazimabad,153,14000,28000000,7345026.1437908495
New Karachi,5,12000,4800000,1728600.0
North Karachi,202,15000,21500000,1585584.1584158416
North Nazimabad,189,16500,37500000,7418142.857142857
Old Clifton,1,350000,350000,350000.0
Orangi Town,1,1600000,1600000,1600000.0
P & T Colony,1,8500000,8500000,8500000.0
Qayyumabad,1,2200000,2200000,2200000.0
Saadi Road,2,25000,15000000,7512500.0
Saddar Town,1,16000,16000,16000.0
Scheme 33,161,12000,28000000,2730093.167701863
Shah Faisal Town,28,10500,50000000,4569410.714285715
Shah Town,1,5500000,5500000,5500000.0
Shahra-e-Faisal,10,17000,5500000,607600.0
Sindh Industrial Trading Estate (SITE),1,20000,20000,20000.0
State Bank of Pakistan Staff Co-Operative Housing Society,2,28000,3200000,1614000.0
Tariq Road,2,25000,150000,87500.0
Tipu Sultan Road,1,100000,100000,100000.0
University Road,4,26000,45000,35250.0
Zamzama,3,220000,450000,346666.6666666667
