location,p_counts,min_price,max_price,mean_price
Abdullah Haroon Road,1,37500000,37500000,37500000.0
Airport,1,3700000,3700000,3700000.0
BMCHS,1,37000000,37000000,37000000.0
Bahria Town Karachi,1,6000000,6000000,6000000.0
Bath Island,2,90000,170000,130000.0
Cantt,2,35000,26000000,13017500.0
Clifton,26,35000,140000000,25946730.769230768
Cotton Export Cooperative Housing Society,1,9000000,9000000,9000000.0
DHA Defence,27,75000,149300000,51977407.40740741
Dastgir Colony,1,15000,15000,15000.0
Defence View Society,2,6000000,7500000,6750000.0
Delhi Colony,3,1100000,11800000,5600000.0
Federal B Area,6,15000,22500000,5877500.0
Frere Town,4,125000,23500000,5972500.0
Gadap Town,1,15000000,15000000,15000000.0
Garden West,3,13000000,15500000,13833333.333333334
Gizri,4,3000000,12000000,9750000.0
Gizri Road,1,16000000,16000000,16000000.0
Gulberg Town,1,10000000,10000000,10000000.0
Gulistan-e-Jauhar,37,25000,25000000,12275945.945945946
Gulshan-e-Iqbal Town,40,60000,75000000,25565125.0
Hill Park,2,20000000,22500000,21250000.0
Jamshed Road,1,14500000,14500000,14500000.0
Jamshed Town,20,40000,50000000,18097750.0
Jinnah Avenue,2,27000000,27500000,27250000.0
Khalid Bin Walid Road,2,35000000,47000000,41000000.0
Khudadad Colony,3,5000000,5000000,5000000.0
Korangi,3,40000,3400000,1160000.0
Lalukhet,1,3000000,3000000,3000000.0
Landhi,2,1700000,1800000,1750000.0
Liaquatabad,13,1200000,5600000,2884615.3846153845
Malir,4,3400000,8500000,4975000.0
Mehmoodabad,6,15000,8500000,4819166.666666667
Navy Housing Scheme Karsaz,3,200000,150000000,54233333.333333336
Nazimabad,25,2600000,21000000,6060000.0
North Karachi,15,18000,17500000,6255733.333333333
North Nazimabad,13,35000,23000000,10166923.076923076
Northern Bypass,3,12300000,26500000,19166666.666666668
P & T Colony,1,23500000,23500000,23500000.0
Punjab Chowrangi,2,35000,15000000,7517500.0
Rashid Minhas Road,1,90000,90000,90000.0
Saddar Town,2,17000000,20000000,18500000.0
Scheme 33,11,25000,15000000,7547727.2727272725
Shah Faisal Town,5,15000,9000000,5123000.0
Shaheed Millat Road,1,25000000,25000000,25000000.0
Tariq Road,11,20000,80000,37181.818181818184
University Road,1,75000000,75000000,75000000.0
Zamzama,1,55000000,55000000,55000000.0
