location,p_counts,min_price,max_price,mean_price
Aisha Manzil,1,10000,10000,10000.0
Anda Mor Road,2,5500,7000,6250.0
Azam Town,1,13000,13000,13000.0
Bath Island,1,30000,30000,30000.0
Clifton,4,20000,90000000,22518750.0
DHA Defence,64,8000,135000,36921.875
Dastgir Colony,1,16000,16000,16000.0
Defence Garden,1,13000,13000,13000.0
Defence View Society,12,7000,18000,12875.0
Federal B Area,1,22000,22000,22000.0
Gadap Town,1,14000000,14000000,14000000.0
Garden West,2,10500,14000,12250.0
Gulistan-e-Jauhar,3,5000,10000,7500.0
Gulshan-e-Iqbal Town,11,8000,80000,17227.272727272728
Jamshed Town,2,10000,26000,18000.0
Khayaban-e-Ittehad Road,1,10000,10000,10000.0
Korangi,1,10000,10000,10000.0
Lyari Expressway,1,1300000,1300000,1300000.0
Malir,5,10000,7000000,1410000.0
Maqboolabad Society,1,90000,90000,90000.0
Nazimabad,1,15000,15000,15000.0
North Karachi,4,8000,25000,15250.0
Old Queens Road,1,20000,20000,20000.0
Pakistan Chowk,1,15000,15000,15000.0
Rashid Minhas Road,2,90000,90000,90000.0
Scheme 33,1,5500000,5500000,5500000.0
Sea View Apartments,1,40000,40000,40000.0
Shahra-e-Faisal,2,10000,10000,10000.0
Tariq Road,1,50000,50000,50000.0
University Road,1,20000,20000,20000.0
