location,p_counts,min_price,max_price,mean_price
Abdullah Haroon Road,1,50000,50000,50000.0
Abul Hassan Isphani Road,14,22000,12500000,2563785.714285714
Airport,2,22000,4300000,2161000.0
Aisha Manzil,2,5500000,5500000,5500000.0
Al-Hilal Society,1,90000,90000,90000.0
Al-Jadeed Residency,1,150000,150000,150000.0
Altaf Hussain Road,3,15000,30000,24000.0
Amil Colony,3,28500000,31500000,30000000.0
Amir Khusro,10,75000,62500000,20695900.0
Anda Mor Road,3,33000,6000000,2022666.6666666667
Azam Town,2,4500000,4700000,4600000.0
BMCHS,1,16500000,16500000,16500000.0
Bahria Town Karachi,1,12000000,12000000,12000000.0
Baldia Town,2,6500,20000,13250.0
Baloch Colony,4,45000,22500000,12261250.0
Bath Island,3,34000000,40000000,36666666.666666664
Bilal Town,1,7000000,7000000,7000000.0
Bin Qasim Town,4,10000,32000,22500.0
Cantt,39,30000,13000000,392794.8717948718
Clifton,20,75000,110000000,9964250.0
Cosmopolitan Society,1,35000000,35000000,35000000.0
Cutchi Memon Cooperative Housing Society,2,120000,40000000,20060000.0
DHA City Karachi,2,90000,115000,102500.0
DHA Defence,749,22000,75000000,255611.48197596797
Darul Aman Society,1,80000000,80000000,80000000.0
Dastgir Colony,9,35000,9000000,5807777.777777778
Defence View Society,25,22000,7500000,1151160.0
Falaknaz Presidency,1,9000000,9000000,9000000.0
Federal B Area,747,12000,35000000,5082948.460508701
Gadap Town,43,12000,11500000,1481433.7209302327
Gizri,2,180000,180000,180000.0
Gizri Road,1,6500000,6500000,6500000.0
Golimar,6,2400000,15000000,5116666.666666667
Gulberg Town,27,14000,15000000,4090740.7407407407
Gulistan-e-Jauhar,528,16000,25000000,6238874.053030303
Gulshan-e-Areesha,3,20000,28000,25000.0
Gulshan-e-Iqbal Town,532,6000,37500000,6848193.609022557
Gulshan-e-Malir,2,13000,20000,16500.0
Guru Mandir Chorangi,1,32000,32000,32000.0
Hill Park,8,48000,39000000,4941000.0
Jamshed Road,2,4000000,11500000,7750000.0
Jamshed Town,240,18000,375000000,19135277.083333332
Javed Bahria Coopretive Housing Society,1,35000,35000,35000.0
Jinnah Avenue,1,53000,53000,53000.0
KDA Scheme 1,3,150000,45000000,29716666.666666668
Kamran Chowrangi,3,8000000,17500000,11833333.333333334
Kashmir Colony,1,9500000,9500000,9500000.0
Khalid Bin Walid Road,13,50000,46000000,19178076.923076924
Khayaban-e-Ittehad Road,4,120000,200000,152500.0
Khudadad Colony,3,6500000,9500000,7500000.0
Korangi,43,10000,7500000,1530186.046511628
Lalukhet,1,2500000,2500000,2500000.0
Landhi,2,18000,9500000,4759000.0
Liaquatabad,171,11000,9000000,2947684.210526316
Lines Area,2,20000,20000,20000.0
Lyari Town,1,2500000,2500000,2500000.0
Malir,106,8000,17000000,1459844.3396226414
Manzoor Colony,4,4300000,6500000,5625000.0
Maqboolabad Society,2,65000,140000,102500.0
Maskan Chowrangi,1,16500000,16500000,16500000.0
Mehmoodabad,17,18000,7500000,3624117.6470588236
Muslimabad Society,1,32000000,32000000,32000000.0
Naval Housing Scheme,1,180000,180000,180000.0
Navy Housing Scheme Karsaz,3,90000,200000,126666.66666666667
Naya Nazimabad,1,45000,45000,45000.0
Nazimabad,491,15000,26000000,6504741.34419552
New Karachi,10,10000,10500000,3435100.0
North Karachi,324,10000,16800000,3420699.074074074
North Nazimabad,432,15000,47000000,8887247.685185185
P & T Colony,1,8000000,8000000,8000000.0
Peoples Colony,1,22000,22000,22000.0
Rashid Minhas Road,4,30000,13500000,4772500.0
Saadi Road,1,23000,23000,23000.0
Scheme 33,217,8000,73000000,5978566.820276498
Shah Faisal Town,46,12000,13500000,4567913.043478261
Shaheed Millat Road,4,35000,80000,57500.0
Shahra-e-Faisal,16,15000,35000000,10618312.5
Shahra-e-Qaideen,4,10000,30000000,10898750.0
Sindh Industrial Trading Estate (SITE),2,22000,9000000,4511000.0
State Bank of Pakistan Staff Co-Operative Housing Society,1,5600000,5600000,5600000.0
Suparco Road,1,32000,32000,32000.0
Super Highway,1,20000,20000,20000.0
Tariq Road,9,60000,35000000,15639444.444444444
Teacher Society,1,6800000,6800000,6800000.0
Teachers Society,3,7800000,14500000,10100000.0
Tipu Sultan Road,4,70000,42500000,20665000.0
University Road,6,26000,20000000,4525000.0
Zamzama,6,200000,250000,223333.33333333334
