location,Property_counts,mean_price,min_price,max_price
APP Employees Co-operative Housing Society,10927,39000000.0,39000000,39000000
ASF Housing Scheme,8548,4664000.0,2800000,7000000
ASF Tower,5877,5461538.461538462,1700000,8500000
Abdullah Ahmed Road,4513,45966666.666666664,2900000,130000000
Abdullah Haroon Road,3094,17161111.111111112,50000,50000000
Abid Town,3037,8395894.736842105,23000,28000000
Abul Hassan Isphani Road,2814,7484119.760479042,15000,106500000
Ahsan Grand City,2811,52000.0,52000,52000
Airport,2436,13517112.24489796,18000,65000000
Aisha Manzil,1914,10329591.836734693,10000,100000000
Al-Hilal Society,1620,18446333.333333332,23000,70000000
Al-Jadeed Residency,1463,7978571.428571428,150000,18000000
Al-Manzar Society,1433,9800000.0,3500000,13500000
Al-Safaa Garden,1327,5750000.0,3500000,8000000
Allama Iqbal Town,830,48500000.0,17000000,80000000
Altaf Hussain Road,458,1768000.0,15000,7000000
Amil Colony,338,26707000.0,70000,75000000
Amir Khusro,288,26101617.021276597,35000,105000000
Anda Mor Road,247,7196620.0,5500,17000000
Azam Town,229,11017285.714285715,13000,30000000
BMCHS,228,13072777.777777778,45000,37000000
Bagh-e-Korangi,222,13095238.095238095,4500000,46000000
Bahria Town Karachi,222,11291870.496022461,16000,250000000
Baldia Town,218,5432609.375,5000,45000000
Baloch Colony,217,23379444.444444444,40000,130000000
Bath Island,215,27563357.98816568,30000,152600000
Beaumont Road,210,16000.0,16000,16000
Bilal Town,198,9666666.666666666,7000000,12500000
Bin Qasim Town,182,9868480.349344978,10000,120000000
Blue Bell Residency,180,30500000.0,6000000,55000000
Britto Road,176,9012700.0,35000,27000000
Cantt,174,29405377.777777776,16000,450000000
Catholic Colony,167,15000000.0,11500000,21000000
Chapal Courtyard,163,11616666.666666666,3200000,26000000
Chapal Skymark,155,41250000.0,40000000,42500000
Chapal Uptown,145,8634000.0,7470000,11000000
Civil Lines,129,24328809.523809522,40000,225000000
Clifton,127,22184013.845350053,18000,1000000000
Cosmopolitan Society,120,18467142.85714286,45000,35000000
Cotton Export Cooperative Housing Society,109,9187500.0,5200000,15000000
Cutchi Memon Cooperative Housing Society,105,102032000.0,120000,270000000
DHA City Karachi,101,31826551.724137932,15000,190000000
DHA Defence,100,43411001.10094262,1,700000000
Dalmia Cement Factory Road,100,12855555.555555556,2200000,27500000
Damba,98,43333.333333333336,28000,57000
Darul Aman Society,92,125000000.0,70000000,180000000
Dastgir Colony,84,10526787.234042553,10000,35000000
Defence Garden,83,13932285.714285715,13000,35000000
Defence View Society,73,10324508.241758242,7000,108000000
Delhi Colony,61,3908704.761904762,9000,17500000
Dhabeji,56,12510000.0,20000,25000000
Diamond City,55,9973684.210526315,3500000,35000000
Dr Daud Pota Road,52,18750000.0,7000000,30500000
Erum Villas,49,5000000.0,5000000,5000000
Etawa Society,47,14967857.142857144,3500000,27000000
Falaknaz Dynasty,47,3666666.6666666665,1300000,7200000
Falaknaz Presidency,43,8202727.2727272725,1360000,15000000
Falcon Complex Faisal,41,82630357.14285715,135000,120000000
Fazaia Housing Scheme,41,7369633.333333333,3000000,60000000
Federal B Area,40,12359073.070607554,9500,230000000
Frere Town,39,19077463.302752294,45000,60000000
Gadap Road,38,2250000.0,0,4500000
Gadap Town,32,7634010.661837339,8000,125000000
Garden West,32,7386907.657657658,7000,40000000
Gizri,29,7109658.416666667,17000,75000000
Gizri Road,28,12369333.333333334,32000,65000000
Gobal Town,28,6500000.0,6500000,6500000
Golimar,28,8530232.558139535,2100000,22000000
Goth Ibrahim Haidri,27,12000000.0,12000000,12000000
Gujjar Chowk,26,10250000.0,5500000,15000000
Gulberg Town,25,11475793.103448275,14000,75000000
Gulistan-e-Jauhar,25,11850434.745788667,1,150000000
Gulistan-e-Malir,24,5750000.0,5500000,6000000
Gulshan-E-Faisal,23,125000.0,125000,125000
Gulshan-e-Amin,22,6165000.0,25000,9800000
Gulshan-e-Areesha,21,5764200.0,20000,15000000
Gulshan-e-Ghazian,21,4000000.0,4000000,4000000
Gulshan-e-Iqbal Town,21,17174316.64170175,4,540000000
Gulshan-e-Jami,21,20000000.0,20000000,20000000
Gulshan-e-Malir,19,2883250.0,13000,6000000
Gulshan-e-Millat,19,7762500.0,2650000,13500000
Gulshan-e-Umair,19,9007500.0,30000,12500000
Gulshan-e-Usman Housing Society,19,10050000.0,7100000,12500000
Guru Mandir Chorangi,18,10395692.307692308,32000,22500000
Hassan Goth,18,5185714.285714285,1500000,50000000
Hawks Bay Scheme 42,18,14200000.0,2800000,40000000
Hill Park,18,22065696.42857143,30000,80000000
Hoshang Road,17,17000000.0,17000000,17000000
Hub River Road,17,9250000.0,1500000,12500000
Humaira Town,16,9500000.0,9500000,9500000
I. I. Chundrigar Road,16,7266666.666666667,4800000,12000000
Intelligence Colony,15,6066666.666666667,4000000,9200000
Jamaluddin Afghani Road,15,7535000.0,70000,15000000
Jamshed Road,15,9248943.181818182,20000,68000000
Jamshed Town,14,30614759.31612003,10000,480000000
Javed Bahria Coopretive Housing Society,14,24511666.666666668,35000,48500000
Jinnah Avenue,14,12374550.505050505,22000,75000000
KDA Scheme 1,14,105782240.0,36000,1450000000
Kamran Chowrangi,14,11647368.421052631,3000000,19500000
Karachi Golf City,14,4950000.0,4950000,4950000
Karachi Motorway,13,8417391.304347826,2900000,26000000
"Karachi, Sindh",13,12000000.0,12000000,12000000
Kashmir Colony,13,5672727.2727272725,1500000,15000000
Kashmir Road,12,32869722.222222224,50000,200000000
Kemari Town,12,24435714.285714287,2600000,250000000
Khalid Bin Walid Road,12,21234195.40229885,35000,100000000
Khaliq-uz-Zaman Road,11,36450000.0,100000,85000000
Khayaban-e-Ittehad Road,11,26631576.923076924,10000,170000000
