location,p_counts,min_price,max_price,mean_price
Al-Kabir Town,1,2800000,2800000,2800000.0
Bahria Orchard,1,20000000,20000000,20000000.0
Beacon House Society,1,55000000,55000000,55000000.0
Beadon Road,1,65000000,65000000,65000000.0
Bedian Road,136,3000000,150000000,42299264.705882356
Budduke Manak Road,2,150000000,150000000,150000000.0
Cantt,66,25000,200000000,46647348.484848484
Central Park Housing Scheme,3,25000000,400000000,275000000.0
Country Homes,1,80000000,80000000,80000000.0
DHA Defence,2,6000000,80000000,43000000.0
Eden Park,2,47500000,110000000,78750000.0
Ferozepur Road,3,5000000,52500000,21666666.666666668
GT Road,5,9000000,18000000,13500000.0
Green Acres Housing Society,11,60000000,180000000,100318181.81818181
Green Fort,1,170000000,170000000,170000000.0
Hudiara,1,22500000,22500000,22500000.0
IEP Engineers Town,1,46000000,46000000,46000000.0
Jaranwala Road,1,884000000,884000000,884000000.0
Jati Umra Road,3,5500000,24000000,12333333.333333334
Kacha Ferozepur Road,1,19000000,19000000,19000000.0
Karbath,2,10000000,14000000,12000000.0
Lahore Motorway City,3,47500000,62000000,55833333.333333336
Manga Mandi,2,22500000,25000000,23750000.0
Multan Road,2,6000000,200000000,103000000.0
Mustafa Abad,1,39500000,39500000,39500000.0
Nawab Town,1,250000000,250000000,250000000.0
Paragon City,1,25500000,25500000,25500000.0
Raiwind Road,9,6000000,416000000,128277777.77777778
Ring Road,2,120000000,150000000,135000000.0
Saggian Wala Bypass Road,1,45000000,45000000,45000000.0
Saraich,1,6000000,6000000,6000000.0
Sue-e-Asal,2,21000000,60000000,40500000.0
Sukh Chayn Gardens,1,220000000,220000000,220000000.0
Sundar Road,1,60000000,60000000,60000000.0
Thethar,2,22000000,75000000,48500000.0
