location,p_counts,min_price,max_price,mean_price
Aabpara Coop Housing Society,1,1700000,1700000,1700000.0
Aashiana Road,2,2200000,3200000,2700000.0
Abdul Sattar Edhi Road,1,6000000,6000000,6000000.0
Abid Market,1,2550000,2550000,2550000.0
Adan Villas,1,3454000,3454000,3454000.0
Airline Housing Society,2,2000000,2400000,2200000.0
Al Hamad Colony,3,2600000,3500000,3100000.0
Al Rehman Garden,2,7000000,7200000,7100000.0
Al-Hamad Colony (AIT),2,2500000,3500000,3000000.0
Al-Kabir Town,65,400000,4750000,2793846.153846154
Ali Alam Garden,1,2400000,2400000,2400000.0
Ali Town,1,26500000,26500000,26500000.0
Allama Iqbal Road,1,3000000,3000000,3000000.0
Allama Iqbal Town,36,1200000,6500000,3639722.222222222
Angoori Bagh,5,2500000,4000000,2820000.0
Ashiana-e-Quaid Housing Scheme,1,2500000,2500000,2500000.0
Askari,508,1400000,150000000,15871062.992125984
Bagarian,1,8500000,8500000,8500000.0
Baghbanpura,1,6500000,6500000,6500000.0
Bahria Education & Medical City,1,2000000,2000000,2000000.0
Bahria Nasheman,3,4500000,4600000,4533333.333333333
Bahria Orchard,26,1425000,7000000,3507307.6923076925
Bahria Town,249,900000,17200000,4678088.3534136545
Beadon Road,1,7044000,7044000,7044000.0
Bedian Road,1,15000000,15000000,15000000.0
Bhatta Chowk,3,1450000,1650000,1566666.6666666667
Canal Garden,5,1100000,1872000,1532400.0
Cantt,11,3100000,60000000,28409090.90909091
Cooper Road,7,7757000,20000000,10084285.714285715
DHA 11 Rahbar,1,2100000,2100000,2100000.0
DHA Defence,57,1350000,62000000,16688596.49122807
Davis Road,4,3700000,16000000,7350000.0
Defence Road,11,1550000,6300000,3195454.5454545454
Eden,14,1750000,3900000,2456428.5714285714
Eden Villas,1,1950000,1950000,1950000.0
Faisal Town,5,6000000,11000000,7640000.0
Farid Court Road,1,1200000,1200000,1200000.0
Ferozepur Road,11,1100000,7000000,2753454.5454545454
GT Road,9,1100000,8130000,5820000.0
Gajju Matah,2,1904000,3200000,2552000.0
Garden Town,3,3500000,22500000,10066666.666666666
Garhi Shahu,1,6000000,6000000,6000000.0
Green Town,1,2150000,2150000,2150000.0
Gulberg,46,1500000,36500000,12029304.347826088
Gulshan Park,1,2500000,2500000,2500000.0
Gulshan-e-Ravi,7,3200000,4200000,3800000.0
Harbanspura Road,4,1300000,3000000,1787500.0
Highcourt Society,1,2000000,2000000,2000000.0
IEP Engineers Town,1,2900000,2900000,2900000.0
Ichhra,14,1800000,9500000,4067857.1428571427
Islampura,5,3600000,5000000,4000000.0
Izmir Town,2,2400000,3600000,3000000.0
Jail Road,4,2500000,17500000,9200000.0
Johar Town,98,1600000,5800000,2870285.714285714
Jubilee Town,1,2395000,2395000,2395000.0
Kacha Lawrence Road,1,5000000,5000000,5000000.0
Khayaban-e-Amin,65,1500000,5000000,2624461.5384615385
Khayaban-e-Jinnah Road,1,3517000,3517000,3517000.0
LDA Avenue,1,1300000,1300000,1300000.0
Labor Colony,78,1250000,2600000,1722307.6923076923
Lahore - Islamabad Motorway,1,2290000,2290000,2290000.0
Lahore Motorway City,4,500000,2900000,2100000.0
Lalazaar Garden,1,2100000,2100000,2100000.0
Land Breeze Housing Society,6,6169000,15400000,9075333.333333334
Lawrence Road,3,6500000,11000000,8166666.666666667
Lower Mall,1,2000000,2000000,2000000.0
Main Canal Bank Road,13,2000000,13200000,7552307.692307692
Makkah Colony,1,4000000,4000000,4000000.0
Mall Road,2,8826000,11800000,10313000.0
Manga Mandi,1,1495000,1495000,1495000.0
Maulana Shaukat Ali Road,1,2500000,2500000,2500000.0
Misri Shah,1,6000000,6000000,6000000.0
Model Town,18,1500000,10000000,3861111.111111111
Mohafiz Town,1,10000000,10000000,10000000.0
Mohlanwal Road,1,3500000,3500000,3500000.0
Mozang,3,2550000,12000000,5916666.666666667
Mughalpura,1,2200000,2200000,2200000.0
Multan Road,11,1495000,4300000,2945000.0
Muslim Town,5,1150000,6000000,3510000.0
Mustafa Town,2,4350000,4500000,4425000.0
NFC 1,1,12500000,12500000,12500000.0
Nadeem Shaheed Road,1,1790000,1790000,1790000.0
National Town,2,2700000,4500000,3600000.0
New Muslim Town,1,3300000,3300000,3300000.0
OPF Housing Scheme,1,2400000,2400000,2400000.0
Officer Colony,1,2300000,2300000,2300000.0
Omega Homes,3,2290000,4490000,3090000.0
Others,1,2200000,2200000,2200000.0
PCSIR Housing Scheme,1,2700000,2700000,2700000.0
PIA Housing Scheme,1,5520000,5520000,5520000.0
Palm Villas,8,2395000,2395000,2395000.0
Paragon City,6,5000000,5700000,5400000.0
Peco Road,1,3500000,3500000,3500000.0
Punjab Coop Housing Society,12,3000000,4500000,3850000.0
Qartaba Chowk,2,2400000,3500000,2950000.0
Qilla Gujjar Singh,1,11000000,11000000,11000000.0
Raiwind Road,47,2500000,10000000,5260446.808510638
Raj Garh,1,4100000,4100000,4100000.0
Rasool Park,1,3200000,3200000,3200000.0
Rehman Gardens,11,7500000,11500000,9163636.363636363
Riwaz Garden,5,1700000,3000000,2220000.0
Saadi Park,1,2800000,2800000,2800000.0
Sabzazar Scheme,2,1800000,1800000,1800000.0
Samanabad,8,2000000,6900000,4012500.0
Sanda,1,2200000,2200000,2200000.0
Sanda Road,1,4500000,4500000,4500000.0
Shadman 1,6,4200000,11000000,7166666.666666667
Shadman 2,1,15000000,15000000,15000000.0
Shah Jamal,9,1650000,20000000,7594444.444444444
Shahkam Chowk,1,2395000,2395000,2395000.0
Shalimar Link Road,3,1027000,7000000,3675666.6666666665
Shalimar Town,1,7000000,7000000,7000000.0
Sham Nagar,1,2950000,2950000,2950000.0
Shama Road,2,3200000,4600000,3900000.0
Shanghai Road,3,9500000,10900000,10038333.333333334
Shershah Colony - Ichra,1,2800000,2800000,2800000.0
Shershah Colony - Raiwind Road,1,3000000,3000000,3000000.0
Sodiwal,1,2200000,2200000,2200000.0
Sue-e-Asal,1,2000000,2000000,2000000.0
Sui Gas Housing Society,2,5800000,6300000,6050000.0
Sukh Chayn Gardens,1,10500000,10500000,10500000.0
Tarogill,1,1600000,1600000,1600000.0
Thokar Niaz Baig,4,2200000,2395000,2346250.0
Upper Mall,1,18200000,18200000,18200000.0
Valencia Housing Society,3,3900000,5000000,4600000.0
Wafaqi Colony,4,3500000,13500000,6550000.0
Walton Road,1,4350000,4350000,4350000.0
Youhanabad,1,1700000,1700000,1700000.0
