location,p_counts,min_price,max_price,mean_price
AR Cottages,1,11500000,11500000,11500000.0
AWT Army Welfare Trust,15,5000000,21000000,12266666.666666666
Aabpara Coop Housing Society,5,15500000,80000000,35400000.0
Aashiana Road,101,2000000,40000000,4828712.871287129
Abdali Road,12,5200000,70000000,21300000.0
Abdalians Cooperative Housing Society,67,17000000,78000000,40958208.95522388
Abdul Sattar Edhi Road,4,15500000,95000000,42125000.0
Abdullah Town,6,3000000,3000000,3000000.0
Abid Market,2,19900000,63000000,41450000.0
Abu Alkhair Road,1,9500000,9500000,9500000.0
Acro Green - Bankers Avenue,13,9000000,24500000,16923076.923076924
Adan Villas,3,5500000,20000000,12000000.0
Afzal Park,4,3600000,9500000,7150000.0
Agrics Town,2,16500000,50000000,33250000.0
Ahbab Colony,6,4000000,12000000,7583333.333333333
Ahlu Road,1,3000000,3000000,3000000.0
Ahmad Avenue,9,4000000,10000000,8055555.555555556
Ahmad Housing Society,8,3200000,15000000,6850000.0
Airline Housing Society,41,12000000,78000000,26048780.48780488
Airport Road,39,3500000,35000000,11748717.948717948
Aitchison Society,13,5000000,36000000,11753846.153846154
Al Faisal Town,51,2000000,22500000,7034313.725490196
Al Fajar Society,3,3700000,4000000,3800000.0
Al Hafeez Gardens,58,3500000,17500000,7479310.344827586
Al Hamad Colony,23,3990000,16000000,8569130.43478261
Al Hamra Town,5,8800000,20500000,12160000.0
Al Haram Garden,2,2500000,3500000,3000000.0
Al Jalil Garden,22,30000,17500000,6442272.7272727275
Al Jannat Housing Scheme,3,2800000,6500000,4600000.0
Al Kareem Garden,18,600000,12000000,7194444.444444444
Al Madina Avenue,2,8700000,11000000,9850000.0
Al Noor Town,6,6000000,34500000,16033333.333333334
Al Raheem Town,1,10500000,10500000,10500000.0
Al Rahim Homes,3,14500000,15000000,14666666.666666666
Al Rehman Garden,747,2000000,22500000,7562248.995983936
Al-Amin Housing Society,9,7000000,17500000,11544444.444444444
Al-Falah Cooperative Housing Society,3,6100000,55000000,24033333.333333332
Al-Hafeez Garden Road,2,7000000,10000000,8500000.0
Al-Hafiz Town,19,2600000,12500000,5847368.421052632
Al-Hamad Colony (AIT),32,4000000,14000000,7309375.0
Al-Hamd Garden,6,2700000,12000000,5666666.666666667
Al-Hamd Park,23,3500000,15000000,7095652.173913044
Al-Jannat Housing Society - Kahna,17,2700000,9500000,4482352.94117647
Al-Kabir Town,192,400000,96000000,5483151.041666667
Al-Kareem Premier Housing Scheme,1,9000000,9000000,9000000.0
Al-Raheem Garden,8,4949000,12500000,9556125.0
Al-Raziq Garden,3,5000000,5000000,5000000.0
Al-Wahab Garden - Phase 1,1,4000000,4000000,4000000.0
Alfalah Town,50,2500000,30000000,10360000.0
Ali Alam Garden,24,4100000,29500000,9233333.333333334
Ali Town,11,6500000,35000000,20518181.818181816
Ali View Garden,16,6000000,18500000,12137500.0
Ali View Park,24,16000,19000000,12142333.333333334
Alia Town,1,3500000,3500000,3500000.0
Allama Iqbal Intl Airport,4,8500000,22500000,14575000.0
Allama Iqbal Road,15,7500000,80000000,21066666.666666668
Allama Iqbal Town,991,3300000,190000000,20278153.380423814
Alpha Society,1,14500000,14500000,14500000.0
Altaf Colony,7,1950000,6000000,3707142.8571428573
Aman Town,1,4800000,4800000,4800000.0
Ameen Park,4,4500000,17000000,9925000.0
Ameer-ud-Din Park,6,4700000,9500000,7616666.666666667
Amina Park,3,2500000,17000000,8333333.333333333
Anarkali,5,3500000,37000000,19500000.0
Angoori Bagh,4,2850000,23500000,15462500.0
Architects Engineers Housing Society,129,5000000,60000000,20948062.015503876
Ashiana-e-Quaid Housing Scheme,24,2200000,4300000,3029166.6666666665
Ashraf Garden,1,6000000,6000000,6000000.0
Ashrafi Town,1,4500000,4500000,4500000.0
Asif Colony,3,4500000,7800000,6600000.0
Asif Town,2,7000000,7000000,7000000.0
Asim Town,6,3100000,7500000,5900000.0
Askari,505,9900000,115000000,28906336.633663367
Atari Saroba,3,5500000,7800000,6433333.333333333
Audit & Accounts Housing Society,50,7300000,27500000,13294000.0
Awan Town,41,3800000,30000000,13180487.804878049
Azadi Chowk,3,16500000,22500000,19000000.0
Azam Gardens,28,3500000,120000000,19960714.285714287
Azeem Garden Shahdara,6,2000000,5600000,4158333.3333333335
BOR - Board of Revenue Housing Society,119,6500000,42500000,13328571.42857143
Babu Sabu,4,2000000,6500000,4525000.0
Badami Bagh,16,3200000,15000000,9181250.0
Bagarian,18,1800000,7800000,4019444.4444444445
Baghbanpura,86,1950000,35000000,8215697.674418605
Bahadurabad,8,2500000,11000000,3981250.0
Bahar Colony,8,4500000,25000000,18250000.0
Bahar Shah Road,2,3500000,13500000,8500000.0
Bahria Education & Medical City,1,850000,850000,850000.0
Bahria Nasheman,65,4600000,16500000,9633846.153846154
Bahria Orchard,506,3000000,28000000,19297816.205533598
Bahria Town,4547,40000,120000000,19678032.76885859
Bait-ul-Raza Colony,2,7400000,8000000,7700000.0
Band Road,44,200000,25000000,6308863.636363637
Bankers Co-operative Housing Society,63,7500000,28000000,15277777.777777778
Bankers Town,15,11000000,22500000,14533333.333333334
Batapur,9,1800000,15000000,7266666.666666667
Beacon House Society,11,12500000,40000000,19681818.181818184
Beadon Road,1,5500000,5500000,5500000.0
Bedian Road,123,1400000,91000000,10110609.75609756
Begampura,7,5200000,80000000,19457142.85714286
Begum Kot,1,7500000,7500000,7500000.0
Bhagatpura,7,4000000,10500000,7142857.142857143
Bhaini Road,2,2500000,19900000,11200000.0
Bhatta Chowk,12,4000000,18000000,8433333.333333334
Bhatti Colony,11,4800000,11000000,6145454.545454546
Bhogiwal,2,5400000,20000000,12700000.0
Bhogiwal Road,9,3000000,23000000,7888888.888888889
Bilal Gunj,12,4000000,30000000,16041666.666666666
Birdwood Road,1,105000000,105000000,105000000.0
Bismillah Housing Scheme,172,3500000,22500000,8380523.2558139535
Canal Bank Housing Scheme,171,3500000,60000000,13234795.321637427
Canal Burg,21,12500000,500000000,40190476.190476194
Canal Fort II,118,3000000,27500000,8155932.203389831
Canal Garden,236,6000000,35000000,11885953.38983051
Canal View,142,35000,120000000,41024190.14084507
Canalberg Housing Society,2,7000000,20000000,13500000.0
Cantt,457,2100000,450000000,34516083.15098468
Cantt View Society,2,12000000,17500000,14750000.0
Cavalry Ground,149,4850000,185000000,39720469.798657715
Central Park Housing Scheme,146,3500000,95000000,14115068.493150685
Chah Miran,15,3100000,25000000,9626666.666666666
Chaman Park,10,5500000,45000000,23320000.0
Chauburji,2,10500000,40000000,25250000.0
Chauburji Chowk,8,8300000,40000000,18225000.0
Chauburji Park Road,8,13500000,36000000,21937500.0
Chaudhary Colony,3,5000000,9100000,7700000.0
Chaudhary Park,2,6800000,17000000,11900000.0
China Scheme,21,3500000,22500000,8859523.80952381
Chinar Bagh,24,5500000,40000000,14491666.666666666
Chohan Road,9,5000000,150000000,25833333.333333332
Chungi Amar Sadhu,66,2200000,106500000,9049242.424242424
Civil Defence,7,8500000,17000000,13285714.285714285
Clifton Colony,55,3600000,17500000,7916363.636363637
College Road,125,4000000,240000000,11440800.0
Combo Colony,1,4500000,4500000,4500000.0
Country Homes,1,80000000,80000000,80000000.0
Crescent Town,2,6000000,6000000,6000000.0
Cricketer Villas,18,7500000,35000000,10761111.111111112
DHA 11 Rahbar,375,7200000,33000000,12540000.0
DHA City,2,8000000,28000000,18000000.0
DHA Defence,7321,75000,935000000,48174328.64362792
Daroghewala,90,2250000,45000000,7308333.333333333
Dars Baray Mian,2,2200000,2200000,2200000.0
Data Darbar Road,1,9000000,9000000,9000000.0
Data Ganj Bakhsh Town,1,8100000,8100000,8100000.0
Davis Road,5,9500000,18000000,13900000.0
Defence Fort,1,8500000,8500000,8500000.0
Defence Garden,2,6500000,15000000,10750000.0
Defence Road,108,2395000,132000000,14545777.777777778
Dharampura,22,2800000,40000000,12554545.454545455
Dholanwal,8,3500000,25000000,9700000.0
Divine Gardens,178,10000000,57500000,18462921.348314606
Divine Homes,5,16500000,20000000,17600000.0
Doctors Housing Society,8,14000000,30000000,18750000.0
Dogech,9,1800000,10500000,5822222.222222222
Dream Avenue Lahore,40,6000000,18000000,8978750.0
Dream Villas,4,16000000,17000000,16500000.0
Dubai Town,13,3000000,9500000,5084615.384615385
Dubban Pura,10,2250000,6500000,4365000.0
EME Society,256,10300000,125000000,45657031.25
Eden,358,1800000,125000000,15903645.251396649
Eden Avenue Extension,24,16000000,23500000,19458333.333333332
Eden Park,4,27500000,39000000,33375000.0
Eden Place Housing Scheme,7,8500000,22500000,14000000.0
Eden Villas,11,3300000,15000000,7363636.363636363
Education Town,5,13200000,31500000,21840000.0
Elite Town,30,2500000,50000000,8510000.0
Empress Road,3,5000000,25000000,13000000.0
Excise & Taxation Housing Scheme,3,12500000,53000000,27166666.666666668
Expo Avenue Society,3,7000000,8600000,7933333.333333333
Faisal Ghuman Road,1,9500000,9500000,9500000.0
Faisal Town,181,4500000,190000000,28592817.679558013
Faiz Bagh,5,2500000,25000000,11700000.0
Farooq Colony,6,6150000,11000000,8441666.666666666
Fateh Garh,77,2500000,127500000,18800649.35064935
Fateh Villas,2,4300000,7500000,5900000.0
Fazaia Housing Scheme,19,12000000,40000000,21147368.42105263
Ferozepur City,1,8600000,8600000,8600000.0
Ferozepur Road,164,1000000,70000000,6127012.195121951
Firdous Colony,1,11500000,11500000,11500000.0
Formanites Housing Scheme,39,5500000,16000000,10097435.897435898
Fort Villas,12,8500000,40000000,20525000.0
GOR,4,4500000,620000000,194250000.0
GT Road,181,1600000,35000000,6774309.392265193
Gajju Matah,27,2200000,20000000,6464814.814814814
Garden Town,210,7500000,750000000,66921428.571428575
Garhi Shahu,38,4000000,40000000,14310526.315789474
Garrison Homes,24,3300000,15500000,7022916.666666667
Gawala Colony,1,30000000,30000000,30000000.0
Gawalmandi,3,4000000,14000000,9000000.0
Ghalib Colony,1,11000000,11000000,11000000.0
Ghausia Colony,17,5500000,14000000,10176470.588235294
Ghaziabad,17,2150000,29000000,6373529.411764706
Ghous Garden,73,2500000,11500000,5412328.767123288
Gohawa,4,2700000,6000000,4175000.0
Gosha-e-Ahbab,42,3000000,39000000,8366666.666666667
Government Employees Cooperative Housing Society (GECHS),21,14000000,150000000,53904761.9047619
Government Transport Headquarters Cooperative Housing Society,1,7200000,7200000,7200000.0
Grand Avenues Housing Scheme,17,2200000,12000000,5411764.705882353
Green Acres Housing Society,3,5600000,210000000,81033333.33333333
Green Cap Housing Society,82,2800000,32500000,6303658.536585365
Green City,53,11000000,40000000,18086792.452830188
Green Fort,4,55000000,200000000,105625000.0
Green Park,11,4200000,15000000,8872727.272727273
Green Park Society,5,7500000,10800000,8960000.0
Green Town,92,1800000,20000000,6276086.956521739
Gujjar Colony,1,6000000,6000000,6000000.0
Gujjarpura,5,5500000,10000000,8190000.0
Gul Colony,1,5000000,5000000,5000000.0
Gul Kali,3,12000000,13500000,12766666.666666666
Gul-e-Damin,12,12500000,26000000,18791666.666666668
Gulbahar Colony,4,9500000,14000000,12125000.0
Gulbahar Park,6,13000000,25000000,21916666.666666668
Gulberg,591,3000000,1430000000,104818612.52115059
Guldasht Town,10,8000000,25000000,17990000.0
Gulfishan Colony,4,22000000,48800000,33700000.0
Gulfishan Town,1,3500000,3500000,3500000.0
Gulistan Colony,4,9000000,14000000,11000000.0
Gulnishan Park,1,7500000,7500000,7500000.0
Gulshan Colony,8,7200000,27500000,12462500.0
Gulshan Farooq Scheme,2,4800000,5000000,4900000.0
Gulshan Park,7,3200000,15000000,8500000.0
Gulshan View Residence Society,3,10500000,12500000,11166666.666666666
Gulshan-E-Mustafa Housing Society,2,10000000,17000000,13500000.0
Gulshan-e-Ahbab,5,3800000,6700000,5080000.0
Gulshan-e-Lahore,63,9000000,35000000,14395238.095238095
Gulshan-e-Ravi,399,1950000,70000000,18312280.701754387
Gulshan-e-Riaz,1,12800000,12800000,12800000.0
Gulshan-e-Yaseen Housing Society,3,2500000,5000000,3366666.6666666665
Gulzar E Ahbab Society,3,8000000,8500000,8166666.666666667
HBFC Housing Society,18,22000000,77500000,41377777.777777776
Habib Homes,16,3500000,20000000,11450000.0
Habibullah Road,37,7800000,59000000,20818918.91891892
Haji Park Housing Scheme,3,5000000,5500000,5266666.666666667
Hajvery Housing Scheme,37,2600000,30000000,12124324.324324325
Hakim Town,5,2000000,4500000,3340000.0
Hall Road,2,30000000,75000000,52500000.0
Hameedpura,8,2100000,6000000,4062500.0
Hamza Town,41,2200000,17000000,4336341.463414635
Hanif Park Harbanspura,8,6500000,12000000,8137500.0
Hanjarwal,3,3500000,10000000,7833333.333333333
Harbanspura,301,1800000,300000000,9855714.285714285
Harbanspura Road,92,1500000,70000000,8515760.869565217
Hassan Town,42,3100000,25000000,8888095.238095239
Heaven Homes,4,9000000,10500000,9825000.0
Heir,1,2500000,2500000,2500000.0
Highcourt Society,22,5000000,28000000,11013636.363636363
IBL Housing Scheme,3,3400000,6000000,4633333.333333333
IEP Engineers Town,31,4500000,60000000,30896774.19354839
Ibrahim Colony,3,1300000,3500000,2300000.0
Ichhra,86,2250000,90000000,10958720.930232558
Immad Garden Housing Scheme,11,2500000,8500000,5145454.545454546
Infantry Road,14,7500000,35000000,17607142.85714286
Inmol Society,3,25000000,30000000,28333333.333333332
Iqbal Avenue,53,15500000,805000000,46871698.11320755
Iqbal Park,62,4500000,23500000,11885483.870967742
Irrigation Cooperative Housing Society,2,1900000,23000000,12450000.0
Islam Nagar,26,7000000,28500000,11515384.615384616
Islamabad Colony,4,2400000,7500000,4707500.0
Islamia Park,23,5000000,60000000,18091304.347826086
Islampura,96,5000000,180000000,20662500.0
Ittehad Colony,18,3200000,29500000,9572222.222222222
Ittifaq Town,20,3300000,30000000,12415000.0
Izmir Town,114,10200000,120000000,28847368.42105263
Jaffar Town,4,7500000,16000000,10275000.0
Jaffaria Colony,7,4500000,14000000,8150000.0
Jail Road,14,5500000,350000000,67500000.0
Jalal Colony,3,10500000,16000000,13833333.333333334
Jalal Pura,2,4000000,4000000,4000000.0
Jallo,7,1200000,9000000,4341428.571428572
Jallo Park Road,9,2500000,12200000,6733333.333333333
Jamal Homes,1,9000000,9000000,9000000.0
Jamil Town,7,5500000,8500000,7428571.428571428
Jan Muhammad Road,2,8000000,12000000,10000000.0
Jaranwala Road,2,7900000,19000000,13450000.0
Jati Umra Road,1,4500000,4500000,4500000.0
Javed Colony - Ghazi Road,2,4500000,6500000,5500000.0
Jewa Town,1,2000000,2000000,2000000.0
Jia Baga Road,3,5800000,12000000,8000000.0
Jinnah Colony,11,3000000,13000000,6954545.454545454
Johar Town,1829,1,200000000,20435552.214871515
Jora Pull,9,4000000,9500000,5822222.222222222
Jubilee Town,221,2395000,22500000,11007601.809954751
Judicial Colony,38,6000000,45000000,22789473.684210528
Kacha Ferozepur Road,7,7000000,32500000,16928571.42857143
Kacha Jail Road,13,2900000,9000000,5780769.230769231
Kacha Road,1,3800000,3800000,3800000.0
Kachupura,3,9500000,20000000,13833333.333333334
Kahna,71,1500000,12000000,4159154.9295774647
Kahna Kacha,8,2200000,8000000,4675000.0
Kakezai Housing Society,3,5000000,18000000,10500000.0
Kala Khatai Road,1,5000000,5000000,5000000.0
Kalma Chowk,3,10500000,45000000,33500000.0
Kamahan Road,28,2000000,150000000,9650000.0
Karim Park,6,5500000,36500000,17500000.0
Katar Bund Road,9,2200000,9000000,5888888.888888889
Khaira,1,4000000,4000000,4000000.0
Khana Kacha Road,2,2500000,2800000,2650000.0
Kharak,5,2500000,7000000,4565000.0
Khawaja Ahmed Hassan Road,1,14000000,14000000,14000000.0
Khayaban-e-Amin,150,3500000,26000000,6203260.0
Khayaban-e-Jinnah Road,4,7200000,29000000,15050000.0
Khayaban-e-Quaid,14,2200000,24500000,7157142.857142857
Khayaban-e-Zohra,3,13000000,22500000,16500000.0
Khokhar Town,2,4500000,6500000,5500000.0
Kot Khawaja Saeed,4,3200000,32000000,12575000.0
Kot Lakhpat,24,2800000,50000000,10572916.666666666
Kotli Abdur Rahman,4,2800000,12000000,5500000.0
Krishan Nagar,15,11500000,39500000,23033333.333333332
LDA Avenue,19,3300000,29500000,17015789.47368421
LDA City,3,4500000,6000000,5366666.666666667
Labor Colony,14,1400000,2000000,1645357.142857143
Lahore - Islamabad Motorway,12,2290000,8500000,4050833.3333333335
Lahore - Jaranwala Road,5,2490000,5000000,4336000.0
Lahore - Kasur Road,5,2700000,9500000,5240000.0
Lahore Canal Bank Cooperative Housing Society,7,8500000,25000000,16928571.42857143
Lahore Cantt Coop Housing,3,35000000,180000000,100000000.0
Lahore Garden Housing Scheme,48,2800000,18000000,7030208.333333333
Lahore Medical Housing Society,291,4200000,35000000,10368384.879725086
Lahore Motorway City,31,2500000,9000000,5580645.161290322
