location,p_counts,min_price,max_price,mean_price
Allama Iqbal Town,3,5000000,7500000,5833333.333333333
Cantt,2,44,12500000,6250022.0
Chinar Bagh,1,8000000,8000000,8000000.0
DHA Defence,1,50000,50000,50000.0
Eden,13,2100000,4100000,2780769.230769231
Eden Villas,3,2500000,3500000,3166666.6666666665
Ferozepur Road,1,23000,23000,23000.0
Gulberg,1,70000,70000,70000.0
Johar Town,2,28000,5000000,2514000.0
Kamahan Road,1,2200000,2200000,2200000.0
Khayaban-e-Amin,1,16500000,16500000,16500000.0
Lahore - Islamabad Motorway,2,2490000,2490000,2490000.0
Model Town,2,30000,57000000,28515000.0
Mozang,1,3000000,3000000,3000000.0
Multan Road,1,27000000,27000000,27000000.0
Nishat Colony,6,2500000,5500000,3566666.6666666665
Omega Homes,6,2490000,2490000,2490000.0
Palm Villas,1,2395000,2395000,2395000.0
Paragon City,1,5800000,5800000,5800000.0
Punjab Coop Housing Society,1,24000,24000,24000.0
Raiwind Road,1,3200000,3200000,3200000.0
Shalimar Town,1,3850000,3850000,3850000.0
Sharaqpur Road,5,2290000,2490000,2450000.0
Township,1,10500000,10500000,10500000.0
Valencia Housing Society,1,18000000,18000000,18000000.0
