location,p_counts,min_price,max_price,mean_price
Ameen Park,1,5000000,5000000,5000000
Badami Bagh,1,6200000,6200000,6200000
Canal Garden,1,6500000,6500000,6500000
DHA Defence,1,23000000,23000000,23000000
Gulberg,1,25000000,25000000,25000000
Main Canal Bank Road,1,55000000,55000000,55000000
Nishtar Colony,1,6000000,6000000,6000000
PCSIR Housing Scheme,1,31500000,31500000,31500000
Paragon City,1,21000000,21000000,21000000
Punjab Coop Housing Society,1,15000000,15000000,15000000
Sue-e-Asal,1,7500000,7500000,7500000
Wapda Town,1,23000000,23000000,23000000
