location,p_counts,min_price,max_price,mean_price
Airport Road,1,7000000,7000000,7000000.0
Al Hamad Colony,1,2500000,2500000,2500000.0
Ali Town,1,18500000,18500000,18500000.0
Bahria Orchard,1,10000000,10000000,10000000.0
Bahria Town,4,25000,35000,30500.0
DHA Defence,3,50000,3500000,1213333.3333333333
Eden,14,1700000,3900000,2394642.8571428573
Eden Villas,2,1850000,3400000,2625000.0
Gulberg,1,48000,48000,48000.0
Gulshan-e-Ravi,1,7000000,7000000,7000000.0
Harbanspura Road,4,7500000,9000000,8375000.0
Ichhra,1,18000000,18000000,18000000.0
Izmir Town,1,4500000,4500000,4500000.0
Krishan Nagar,1,9500000,9500000,9500000.0
Lahore - Islamabad Motorway,7,1990000,2290000,2247142.8571428573
Omega Homes,4,2290000,2290000,2290000.0
Pak Arab Housing Society,1,25000,25000,25000.0
Palm Villas,5,2395000,3495000,3275000.0
Raiwind Road,1,2100000,2100000,2100000.0
Sharaqpur Road,6,2290000,2490000,2356666.6666666665
Shershah Colony - Raiwind Road,2,12000,12000,12000.0
Taj Bagh Scheme,1,9500000,9500000,9500000.0
Township,2,1500000,6500000,4000000.0
Walled City,2,5000000,10000000,7500000.0
Wapda Town,1,23000,23000,23000.0
Youhanabad,1,2200000,2200000,2200000.0
