location,Property_counts,mean_price,min_price,max_price
AR Cottages,7388,11500000.0,11500000,11500000
AWT Army Welfare Trust,4800,12266666.666666666,5000000,21000000
Aabpara Coop Housing Society,1930,29783333.333333332,1700000,80000000
Aashiana Road,1031,4787378.640776699,2000000,40000000
Abdali Road,1013,21300000.0,5200000,70000000
Abdalians Cooperative Housing Society,842,40958208.95522388,17000000,78000000
Abdul Sattar Edhi Road,784,34900000.0,6000000,95000000
Abdullah Town,749,3000000.0,3000000,3000000
Abid Market,656,28483333.333333332,2550000,63000000
Abu Alkhair Road,640,9500000.0,9500000,9500000
Acro Green - Bankers Avenue,598,16923076.923076924,9000000,24500000
Adan Villas,583,9863500.0,3454000,20000000
Afzal Park,536,7150000.0,3600000,9500000
Agrics Town,534,33250000.0,16500000,50000000
Ahbab Colony,477,7583333.333333333,4000000,12000000
Ahlu Road,430,3000000.0,3000000,3000000
Ahmad Avenue,407,8055555.555555556,4000000,10000000
Ahmad Housing Society,399,6850000.0,3200000,15000000
Airline Housing Society,394,24939534.88372093,2000000,78000000
Airport Road,385,11630000.0,3500000,35000000
Aitchison Society,376,11753846.153846154,5000000,36000000
Al Faisal Town,360,7034313.725490196,2000000,22500000
Al Fajar Society,339,3800000.0,3700000,4000000
Al Hafeez Gardens,308,7479310.344827586,3500000,17500000
Al Hamad Colony,301,7736666.666666667,2500000,16000000
Al Hamra Town,291,12160000.0,8800000,20500000
Al Haram Garden,274,3000000.0,2500000,3500000
Al Jalil Garden,262,6442272.7272727275,30000,17500000
Al Jannat Housing Scheme,260,4600000.0,2800000,6500000
Al Kareem Garden,258,7194444.444444444,600000,12000000
Al Madina Avenue,256,9850000.0,8700000,11000000
Al Noor Town,247,16033333.333333334,6000000,34500000
Al Raheem Town,242,10500000.0,10500000,10500000
Al Rahim Homes,222,14666666.666666666,14500000,15000000
Al Rehman Garden,216,7561014.686248331,2000000,22500000
Al-Amin Housing Society,213,11544444.444444444,7000000,17500000
Al-Falah Cooperative Housing Society,207,24033333.333333332,6100000,55000000
Al-Hafeez Garden Road,203,8500000.0,7000000,10000000
Al-Hafiz Town,195,5847368.421052632,2600000,12500000
Al-Hamad Colony (AIT),190,7055882.352941177,2500000,14000000
Al-Hamd Garden,186,5666666.666666667,2700000,12000000
Al-Hamd Park,184,7095652.173913044,3500000,15000000
Al-Jannat Housing Society - Kahna,179,4482352.94117647,2700000,9500000
