location,p_counts,min_price,max_price,mean_price
Adiala Road,8,3600000,80000000,22987500.0
Bahria Town Rawalpindi,1,12800000,12800000,12800000.0
Capital Smart City,1,45000000,45000000,45000000.0
Chakbeli Road,3,30000000,51500000,40500000.0
Chakri,5,3500000,100000000,31400000.0
Chakri Road,40,3,180000000,19378750.075
GT Road,1,7500000,7500000,7500000.0
Girja Road,1,26000000,26000000,26000000.0
Islamabad Farm Houses,2,4500000,20000000,12250000.0
Kahuta,1,20000000,20000000,20000000.0
Takht Pari,1,65000,65000,65000.0
