location,p_counts,min_price,max_price,mean_price
Adiala Road,5,18000,23500000,8513600.0
Affandi Colony,2,4500000,4850000,4675000.0
Airport Housing Society,12,8000,22000,12666.666666666666
Airport Road,3,12000,11000000,3679000.0
Asghar Mall Road,6,35000,8500000,4455833.333333333
Askari 1,19,32000,16000000,3673421.052631579
Askari 11,1,14500000,14500000,14500000.0
Askari 14,123,15000,18000000,9642008.130081302
Askari 15,4,30000,18000000,12507500.0
Askari 2,20,35000,16500000,3721900.0
Askari 3,9,38000,15500000,9270000.0
Askari 4,26,37000,18500000,5442923.076923077
Askari 7,30,35000,20000000,11308333.333333334
Askari 8,1,53000,53000,53000.0
Ayub National Park,1,5000000,5000000,5000000.0
Bahria Town Rawalpindi,1861,5000,32500000,2923541.912950027
Caltex Road,2,25000,3200000,1612500.0
Cantt,2,10000,12000000,6005000.0
Capital Awami Villas,2,12000,2800000,1406000.0
Chaklala Scheme,17,25000,12000000,1759000.0
Chakri Road,2,13000,3000000,1506500.0
Chandni Chowk,3,35000,3500000,2278333.3333333335
College Road,2,3000000,3800000,3400000.0
Commercial Market,7,20000,20000000,5437857.142857143
Cricket Stadium Road,1,5500000,5500000,5500000.0
Defence Road,2,28000,13000000,6514000.0
Dhok Elahi Baksh,3,10000,12000,11333.333333333334
Dhok Kala Khan,7,12000,8900000,1283285.7142857143
Dhok Kashmirian,24,10000,23000,16708.333333333332
Dhok Paracha,3,23000,30000,26000.0
Dhoke Gangal,1,4500000,4500000,4500000.0
Faisal Colony,4,8000,8000,8000.0
Faizabad,4,35000,8000000,4633750.0
Farooq-e-Azam Road,44,12000,31000,21920.454545454544
Fazaia Colony,1,35000,35000,35000.0
Fazal Town,1,8000,8000,8000.0
G. H. Q,1,45000,45000,45000.0
GT Road,4,14000,6000000,3778500.0
Ghauri Town,1,15000,15000,15000.0
Gulistan Colony,4,4000000,5000000,4500000.0
Gulraiz Housing Scheme,37,8000,32000000,2872162.1621621624
Gulshan Abad,1,15000,15000,15000.0
Gulzar-e-Quaid Housing Society,10,8000,15000,10800.0
High Court Road,2,17000,3000000,1508500.0
Islamabad Highway,8,10000,12000,11000.0
Jamia Masjid Road,1,10000,10000,10000.0
Kartar Pura,4,3400000,3800000,3650000.0
Khayaban-e-Sir Syed,3,14000,23000,20000.0
Kingdom Valley Islamabad,1,11000,11000,11000.0
Lalazar,1,10000000,10000000,10000000.0
Liaquat Bagh,6,2000000,4800000,2783333.3333333335
Misryal Road,6,4000000,8000000,5416666.666666667
Murree Road,5,20000,5000000,3604000.0
Nawaz Colony,1,25000,25000,25000.0
New Katarian,1,15000,15000,15000.0
Others,1,11000000,11000000,11000000.0
PWD Colony,7,10000,3200000,1278714.2857142857
Peshawar Road,4,13000,3400000,866250.0
Pindora,1,22500000,22500000,22500000.0
Pir Wadhai,2,10000,10000,10000.0
Police Foundation Housing Scheme,1,2400000,2400000,2400000.0
Range Road,7,10000,25000,16571.428571428572
Rawat,4,23000,1500000,1130750.0
Saddar,5,20000,15500000,5304000.0
Sadiqa Abad,1,2200000,2200000,2200000.0
Sadiqabad,1,2500000,2500000,2500000.0
Safari View Residencia,7,1500000,12500000,3885714.285714286
Saidpur Road,5,15000,3500000,715400.0
Sarafa Bazar,2,15000,15000,15000.0
Satellite Town,30,13000,9500000,1973833.3333333333
Shams Abad,2,22000,15500000,7761000.0
Transformer Chowk,3,16000,2700000,912000.0
Tulsa Road,1,13000,13000,13000.0
Westridge,1,10000,10000,10000.0
