location,p_counts,min_price,max_price,mean_price
Abdullah City,1,5500000,5500000,5500000.0
Abid Majeed Road,3,14000000,32000000,21166666.666666668
Adiala Road,1039,12000,35000000,6211717.998075072
Affandi Colony,2,18000000,25000000,21500000.0
Afshan Colony,142,15000,33000000,8066605.633802817
Ahmad Abad,4,3200000,50000000,15925000.0
Air Force Housing Society,7,15000,48500000,28502142.85714286
Airport Housing Society,535,13500,65000000,9509123.364485981
Airport Road,13,3600000,15000000,9376923.076923076
Akalgarh,3,4850000,11000000,8450000.0
Al-Haram City - Phase 2,6,2700000,5200000,3916666.6666666665
Al-Noor Colony,14,18000,13000000,7290571.428571428
Ali Abad,3,4500000,13000000,9000000.0
Ali Town,14,12000,16500000,6230357.142857143
Allahabad Road,59,40000,15000000,7376949.152542373
Allama Iqbal Colony,15,45000,13500000,4453000.0
Amarpura,9,8000000,27500000,15611111.111111112
Ameen Town,1,7000000,7000000,7000000.0
Amer Pura,2,5800000,15000000,10400000.0
Aria Mohalla,6,100000,25000000,12150000.0
Army Officers Colony,14,9000,80000000,20595642.85714286
Asghar Mall Road,16,16500,82500000,26254250.0
Ashraf Colony,12,2200000,10500000,5475000.0
Askari 1,1,5000000,5000000,5000000.0
Askari 10,18,58000,35000000,14110722.222222222
Askari 11,3,17500000,25000000,22500000.0
Askari 12,14,70000,49000000,24240785.714285713
Askari 13,54,55000,45500000,12935314.814814815
Askari 14,222,42000,35000000,12345846.846846847
Askari 5,7,68000,25000000,3634142.8571428573
Askari 7,15,50000,47500000,16226533.333333334
Askari 8,5,45000,95000,82000.0
Askari 9,3,55000,25000000,8381666.666666667
Aslam Shaheed Road,9,9500000,22000000,14555555.555555556
Awan Town,10,3300000,12000000,6930000.0
Ayub Colony,21,27000,15500000,9793904.761904761
Ayub National Park,5,19000000,80000000,63800000.0
Azizabad,2,12000,3500000,1756000.0
Babar Colony,2,18000,9200000,4609000.0
Badar Colony,1,7500000,7500000,7500000.0
Bagh Sardaran,4,13000000,16000000,13750000.0
Bahar Colony,4,3300000,6500000,4300000.0
Bahria Town Rawalpindi,5174,1,550000000,13804333.979706224
Bakra Mandi,10,18000,14000000,6631800.0
Banaras Colony,6,3500000,7000000,5200000.0
Bangash Colony,2,7500000,8500000,8000000.0
Bankers Colony,4,15000,4000000,2803750.0
Banni Chowk,1,35000,35000,35000.0
Bethsaida Colony,1,19500000,19500000,19500000.0
Bilal Colony,21,23000,25000000,13741476.19047619
Bostan Road,10,22000,13500000,6572200.0
Bostan Valley,7,6500000,18000000,13628571.42857143
CBR Town Phase 2,2,11000000,12500000,11750000.0
CMH Road,1,20000000,20000000,20000000.0
Caltex Road,36,40000,26000000,10302777.777777778
Cantt,12,28000,88500000,37585666.666666664
Capital Awami Villas,1,35000,35000,35000.0
Capital Smart City,28,913000,22400000,11992107.142857144
Chah Sultan,6,8900000,85000000,23816666.666666668
Chakbeli Road,2,6500000,17000000,11750000.0
Chaklala,13,10000,40000000,8210615.384615385
Chaklala Scheme,402,3,100000000,11678470.156716418
Chakra,27,1500000,20000000,5470370.37037037
Chakra Road,55,22000,17000000,4900400.0
Chakri,3,2500000,5000000,3500000.0
Chakri Road,144,150000,15000000,4769097.222222222
Chandni Chowk,7,48000,41500000,20878285.714285713
Chanman Abad,7,18000,4900000,2163285.714285714
Chaudhary Jan Colony,3,9500000,11500000,10333333.333333334
Chaudhary Wilayat Khan Road,5,2200000,18000000,7540000.0
Chungi No. 22 Road,2,30000,9000000,4515000.0
Chur Chowk,7,32000,30000000,9754571.42857143
City Villas,3,11500000,17500000,14166666.666666666
Civil Lines,2,70000000,100000000,85000000.0
Clifton Township,16,25000,17500000,10120312.5
College Road,2,3200000,32500000,17850000.0
Commercial Market,19,35000,55000000,35265000.0
Committee Chowk,11,30000,90000000,17911818.181818184
Cricket Stadium Road,3,8000000,20000000,14333333.333333334
DAV College Road,6,45000,55000000,15124166.666666666
Defence Colony,10,60000,30000000,6316500.0
Defence Road,89,14000,45000000,7462460.674157304
Dhamyal Road,57,8000,24000000,5272596.49122807
Dheri Hassanabad,10,4000000,13000000,7820000.0
Dhok Babu Irfan,1,7800000,7800000,7800000.0
Dhok Chiragh Din,2,8000000,8000000,8000000.0
Dhok Elahi Baksh,9,6500000,15000000,10500000.0
Dhok Gujran,18,15000,25000000,5700833.333333333
Dhok Hukamdad,2,13000000,13000000,13000000.0
Dhok Kala Khan,16,50000,15000000,7240625.0
Dhok Kashmirian,56,16000,58000000,10300125.0
Dhok Mangtal,22,15000,13000000,2210227.272727273
Dhok Mustaqeem Road,3,65000,9500000,5388333.333333333
Dhok Naju,3,4500000,22500000,13166666.666666666
Dhok Paracha,56,20000,28000000,10664107.142857144
Dhok Piran Faqiran,1,15000000,15000000,15000000.0
Dhok Sayedan Road,87,1800000,15000000,4852873.563218391
Dhoke Banaras Road,25,7500,12000000,4371860.0
Dhoke Dalal Road,5,5600000,8500000,7120000.0
Dhoke Gangal,6,50000,9000000,5325000.0
Dhoke Hassu,16,2600000,30000000,8056250.0
Dhoke Khabba,10,3200000,8500000,5670000.0
Dhoke Munshi Khan,2,4000000,7500000,5750000.0
Dhoke Ratta,1,6000000,6000000,6000000.0
Dhoke Syedan,58,22000,22000000,4570637.931034483
Doctors Housing Society,3,21500000,45000000,30666666.666666668
Eastridge Housing Scheme,4,13000000,198000000,61250000.0
Faisal Colony,18,6700000,28000000,12488888.888888888
Faizabad,2,4000000,4000000,4000000.0
Farooq-e-Azam Road,79,10000,15500000,3420721.518987342
Fazaia Colony,10,60000,72500000,27795000.0
Fazal Town,11,15000,15500000,10110454.545454545
Firdosi Road,2,130000,40000000,20065000.0
Friends Colony,11,16000,21500000,7048363.636363637
GT Road,25,32000,50000000,14823840.0
Gangaal,1,15000000,15000000,15000000.0
Garja,3,2600000,8500000,4766666.666666667
Gawal Mandi,7,50000,30000000,14192857.142857144
Ghauri Town,15,9000,12500000,8122600.0
Ghaziabad,6,3000000,4950000,3841666.6666666665
Ghous-e-Azam Road,9,15000,12500000,7518333.333333333
Ghousia Colony,2,15000000,15500000,15250000.0
Girja Road,75,10000,7500000,3297466.6666666665
Gorakhpur,2,4000000,7200000,5600000.0
Gulbahar Scheme,14,3000000,7000000,4621428.571428572
Gulistan Colony,66,25000,42000000,11537651.515151516
Gulistan Fatima Colony,3,3500000,3700000,3566666.6666666665
Gulistan-e-Jinnah Colony,1,29000000,29000000,29000000.0
Gulraiz Housing Scheme,602,16000,80000000,12369951.827242525
Gulshan Abad,382,0,50000000,12760920.157068063
Gulshan Dadan,1,60000000,60000000,60000000.0
Gulshan-e-Iqbal,23,24000,25000000,6835913.043478261
Gulshan-e-Saeed,4,5500000,8500000,7125000.0
Gulshan-e-Safeer,3,25000,3700000,2408333.3333333335
Gulshan-e-Shamal,1,3000000,3000000,3000000.0
Gulshan-e-Zaheer Colony,1,5700000,5700000,5700000.0
Gulzar-e-Quaid Housing Society,77,19000,40000000,10474077.922077922
Haji Chowk,24,3800000,14000000,7579166.666666667
Hakim Muhammad Ajmal Khan Road,1,15000000,15000000,15000000.0
Harley Street,42,20000,110000000,17536571.42857143
Hazara Colony,7,4500000,7500000,6214285.714285715
High Court Road,16,3800000,22000000,12006250.0
Holy Family Road,4,9000000,22000000,17250000.0
Humak,3,6500000,13500000,9333333.333333334
Ideal Homes Society,12,2850000,7000000,4929166.666666667
Imam Bara Road,4,6000000,37500000,15325000.0
Islamabad Highway,131,13000,17000000,5867977.099236641
Janjua Town,27,3500000,12000000,6170370.37037037
Jarahi,3,3200000,6000000,4566666.666666667
Jhanda Chichi,2,18000,25000000,12509000.0
Judicial Colony,10,30000,32500000,15372500.0
Jumma Market,1,4500000,4500000,4500000.0
KRL Road,33,15000,20000000,7953848.484848484
Kacheri Chowk,1,35000000,35000000,35000000.0
Kahuta,3,15000,4500000,2388333.3333333335
Kallar Syedan,1,16000000,16000000,16000000.0
Kalma Chowk,7,16000,24500000,7150214.285714285
Kamala Abad,5,3850000,19000000,8870000.0
Kartar Pura,5,6500000,32500000,19460000.0
Khanna Road,12,15000,18200000,7653166.666666667
Khayaban-e-Faisal,2,7500000,30000000,18750000.0
Khayaban-e-Sir Syed,205,15000,40000000,6441831.707317073
Khayaban-e-Tanveer,16,25000,24000000,10514187.5
Khurram Colony,69,22000,15000000,6833289.855072464
Kurri Road,65,14000,48000000,5865569.230769231
Lakhu Road,1,2400000,2400000,2400000.0
Lalarukh Colony,8,3000000,7500000,5125000.0
Lalazar,78,21000,90000000,11881153.846153846
Lalazar 2,15,2100000,10000000,4426666.666666667
Lalkurti,16,35000,65000000,15107625.0
Liaquat Bagh,2,10000000,31500000,20750000.0
Liaquat Colony,17,1600000,7500000,4217647.05882353
Magistrate Colony,4,30000,9000000,5557500.0
Malik Colony,3,1900000,5500000,3333333.3333333335
Mall Road,3,170000,8000000,4323333.333333333
Mangral Town,29,40000,14000000,7041379.310344827
Marir Hassan,1,4500000,4500000,4500000.0
Media Town,264,35000,32500000,20350541.666666668
Misryal Road,216,10000,22500000,6365175.925925926
Model Colony,4,3700000,8000000,5425000.0
Model Town Humak,2,7500000,10000000,8750000.0
Mohallah Raja Sultan,1,8000000,8000000,8000000.0
Mohammadi Colony,4,20000,12000000,6380000.0
Mohan Pura,4,13000000,33000000,22750000.0
Momin Pura,1,50000000,50000000,50000000.0
Morgah,27,17000,35000000,7703185.185185186
Mughal Abad Road,1,25000000,25000000,25000000.0
Mumtaz Colony,12,6500000,80000000,16541666.666666666
Munawar Colony,23,25000,25000000,7952913.043478261
Murree Road,14,25000,176000000,28315714.285714287
Muslim Town,199,12000,25000000,8580537.688442212
Nanak Pura,1,22500000,22500000,22500000.0
Naseerabad,3,7500000,8000000,7833333.333333333
National Garden Housing Scheme,9,3200000,8500000,5788888.888888889
Nawaz Colony,7,3600000,15000000,8671428.57142857
New Afzal Town,12,4000000,15000000,7583333.333333333
New Katarian,4,1,55000000,25625000.25
New Lalazar,75,16000,55000000,15079920.0
Nussah Town,1,6000000,6000000,6000000.0
Others,17,23000,25000000,10830764.705882354
PAF Residential Area,1,39900000,39900000,39900000.0
PIA Colony,17,14000,15000000,6683764.705882353
PWD Colony,4,75000,17000000,10893750.0
Palm City,9,2800000,9000000,5772222.222222222
Peer Meher Ali Shah Town,17,2200000,13000000,5635294.117647059
People Colony,39,14000,8500000,2273512.8205128205
Peshawar Road,184,20000,400000000,19758934.782608695
Pindora,16,14000,37500000,16814937.5
Pir Wadhai,17,2800000,20000000,8788235.294117646
Police Foundation Housing Scheme,7,26500,27000000,12793785.714285715
Professors Colony,11,7000000,13000000,8227272.7272727275
Punjab Government Servant Housing Foundation (PGSHF),11,17000,8000000,3233363.6363636362
Qasimabad,5,3800000,11000000,8160000.0
Quaid-e-Azam Colony,21,25000,9800000,4772619.047619048
Race Course,10,115000,40000000,20573500.0
Raheemabad,1,6500000,6500000,6500000.0
Rail View Housing Society,48,2900000,13000000,6919791.666666667
Railway Scheme 9,7,25000,7200000,4932142.857142857
Raja Bazar,2,12000000,12500000,12250000.0
Range Road,210,0,200000000,11049321.42857143
Ranial,2,3750000,6000000,4875000.0
Rawal Road,9,5500000,100000000,19711111.111111112
"Rawalpindi, Punjab",4,4400000,18000000,10350000.0
Rawat,12,2900000,13000000,6633333.333333333
Rawat Enclave,2,5500000,5500000,5500000.0
Rawat Industrial Estate,1,45000,45000,45000.0
Rehmanabad,6,13000000,15000000,14083333.333333334
Riaz Qureshi Road,1,100000,100000,100000.0
Sabzazar,7,35000,19500000,12933571.42857143
Saddar,22,18000,35000000,14135590.909090908
Sadiqa Abad,27,25000,22500000,8599074.074074075
Sadiqabad,75,34000,23000000,7820933.333333333
Safari View Residencia,4,5000000,8500000,6125000.0
Saidpur Road,23,40000,140000000,30133608.695652176
Samarzar Housing Society,97,16000,13500000,4458773.195876288
Sangar Town,36,20000,14000000,8264444.444444444
Sarafa Bazar,2,17000000,35000000,26000000.0
Sarwar Road,2,25000000,125000000,75000000.0
Satellite Town,355,18000,650000000,28068622.53521127
Shah Khalid Colony,9,2600000,11000000,6777777.777777778
Shaheen Town,4,5000000,11000000,8500000.0
Shakrial,30,15000,12500000,5886466.666666667
Shalley Valley,169,17000,35000000,10472011.834319526
