location,p_counts,min_price,max_price,mean_price
Abdullah City,2,12000,14000,13000.0
Adiala Road,5,13000,25000,18800.0
Afshan Colony,46,10000,40000,20304.347826086956
Airport Housing Society,110,11000,45000,20559.090909090908
Ali Town,2,12500,13000,12750.0
Amarpura,1,14000,14000,14000.0
Aria Mohalla,2,16500,17000,16750.0
Army Officers Colony,1,20000,20000,20000.0
Asghar Mall Road,8,13000,45000,31000.0
Askari 1,2,35000,35000,35000.0
Askari 4,1,50000,50000,50000.0
Askari 7,1,48000,48000,48000.0
Aslam Shaheed Road,1,25000,25000,25000.0
Azizabad,2,11000,16000,13500.0
Bahria Town Rawalpindi,622,13000,150000,35137.299035369775
Bilal Colony,9,14000,30000,20333.333333333332
CBR Town Phase 2,1,22000,22000,22000.0
Chaklala,1,15000,15000,15000.0
Chaklala Scheme,51,17000,90000,40666.666666666664
Chakra Road,1,15000,15000,15000.0
Chakri Road,1,15000,15000,15000.0
Chandni Chowk,2,20000,30000,25000.0
Chanman Abad,2,16000,20000,18000.0
Chur Chowk,1,25000,25000,25000.0
Commercial Market,1,19000,19000,19000.0
Committee Chowk,1,22000,22000,22000.0
Cricket Stadium Road,1,22000,22000,22000.0
Defence Road,7,15000,30000,22000.0
Dhamyal Road,6,16000,25000,21500.0
Dhok Elahi Baksh,6,15000,16000,15500.0
Dhok Gujran,2,15000,16000,15500.0
Dhok Kala Khan,4,16000,16000,16000.0
Dhok Kashmirian,22,18000,35000,24818.18181818182
Dhok Mangtal,1,20000,20000,20000.0
Dhok Paracha,11,11000,35000,20272.727272727272
Dhoke Gangal,3,15000,50000,38333.333333333336
Dhoke Khabba,1,10000,10000,10000.0
Doctors Housing Society,1,43000,43000,43000.0
Eastridge Housing Scheme,1,32000,32000,32000.0
Faisal Colony,2,16000,30000,23000.0
Farooq-e-Azam Road,50,10000,25000,19440.0
Fazaia Colony,1,85000,85000,85000.0
Fazal Town,1,19500,19500,19500.0
Friends Colony,1,16500,16500,16500.0
Ghauri Town,4,12000,23000,18750.0
Ghaziabad,1,10000,10000,10000.0
Girja Road,3,12000,14000,13333.333333333334
Gulistan Colony,2,25000,30000,27500.0
Gulistan-e-Jinnah Colony,1,30000,30000,30000.0
Gulraiz Housing Scheme,109,15000,48000,27853.211009174312
Gulshan Abad,11,18000,30000,23909.090909090908
Gulshan-e-Iqbal,2,18500,3700000,1859250.0
Gulzar-e-Quaid Housing Society,10,11000,60000,25450.0
Harley Street,6,18000,32000,23833.333333333332
High Court Road,1,15000,15000,15000.0
Holy Family Road,3,37000,45000,42333.333333333336
Ideal Homes Society,3,16000,16000,16000.0
Islamabad Highway,8,14500,30000,20750.0
Jinnah Colony,1,30000,30000,30000.0
KRL Road,24,15000,60000,21458.333333333332
Kalma Chowk,1,10000,10000,10000.0
Khanna Road,2,11500,23000,17250.0
Khayaban-e-Sir Syed,173,15000,65000,18153.179190751445
Khayaban-e-Tanveer,2,15000,40000,27500.0
Khurram Colony,3,20000,32000,24666.666666666668
Kiyani Road,1,10000,10000,10000.0
Kohati Bazar,1,17000,17000,17000.0
Kurri Road,1,25000,25000,25000.0
Lalazar,8,20000,30000,23625.0
Lalkurti,1,22000,22000,22000.0
Mangral Town,5,16000,27000,18600.0
Media Town,59,25000,28000000,512915.25423728814
Misryal Road,10,12000,35000,18300.0
Morgah,1,25000,25000,25000.0
Munawar Colony,1,16000,16000,16000.0
Murree Road,1,40000,40000,40000.0
Muslim Town,29,13000,25000,17344.827586206895
New Lalazar,1,28000,28000,28000.0
PIA Colony,3,18000,35000,23666.666666666668
Peer Meher Ali Shah Town,2,14000,14000,14000.0
People Colony,11,15000,22000,18363.636363636364
Peshawar Road,29,14000,60000,27896.55172413793
Pindora,1,29000,29000,29000.0
Police Foundation Housing Scheme,1,26000,26000,26000.0
Qasimabad,1,19000,19000,19000.0
Quaid-e-Azam Colony,2,13000,20000,16500.0
Range Road,17,15000,40000,27764.70588235294
Rawat,1,28000,28000,28000.0
Saddar,1,20000,20000,20000.0
Sadiqabad,2,21000,25000,23000.0
Safari View Residencia,1,35000,35000,35000.0
Sangar Town,3,16000,18000,17333.333333333332
Satellite Town,172,13000,70000,43520.348837209305
Shah Khalid Colony,1,16000,16000,16000.0
Shakrial,2,15000,15000,15000.0
Shalley Valley,32,17000,50000,31218.75
Shams Abad,6,16000,35000,23000.0
Sher Zaman Colony,1,22000,22000,22000.0
Tench Bhata,2,16000,22000,19000.0
Tulsa Road,2,35000,65000,50000.0
Waris Khan,1,25000,25000,25000.0
Westridge,24,22000,150000,46937.5
Yousaf Colony,1,27000,27000,27000.0
