location,p_counts,min_price,max_price,mean_price
Abdullah City,2,13000,13000,13000.0
Adiala Road,39,10500,5500000,159269.23076923078
Affandi Colony,4,24000,30000,28500.0
Afshan Colony,49,9000,40000,20918.367346938776
Air Force Housing Society,2,50000,55000,52500.0
Airport Housing Society,90,12000,55000,20394.444444444445
Airport Road,2,25000,30000,27500.0
Al-Noor Colony,1,15000,15000,15000.0
Allahabad Road,1,20000,20000,20000.0
Amarpura,2,12000,15000,13500.0
Aria Mohalla,1,10000,10000,10000.0
Asghar Mall Road,6,19000,40000,30166.666666666668
Askari 1,1,45000,45000,45000.0
Askari 14,1,18000,18000,18000.0
Aslam Shaheed Road,2,20000,25000,22500.0
Ayub Colony,2,16000,18000,17000.0
Azeem Town,2,22000,25000,23500.0
Babar Colony,1,6900000,6900000,6900000.0
Bahria Town Rawalpindi,834,16000,3500000,46150.22781774581
Bakra Mandi,1,23000,23000,23000.0
Bilal Colony,5,10000,25000,14200.0
Bostan Valley,2,15000,25000,20000.0
Caltex Road,1,18000,18000,18000.0
Cantt,2,17000,33000,25000.0
Chakbeli Road,1,35000,35000,35000.0
Chaklala Scheme,132,15000,70000,38223.48484848485
Chandni Chowk,1,30000,30000,30000.0
Chur Chowk,1,15000,15000,15000.0
Civil Lines,1,33000,33000,33000.0
Clifton Township,1,15000,15000,15000.0
Commercial Market,2,35000,45000,40000.0
Cricket Stadium Road,1,20000,20000,20000.0
Defence Colony,2,45000,50000,47500.0
Defence Road,6,15000,50000,26000.0
Dheri Hassanabad,1,15000,15000,15000.0
Dhok Chiragh Din,1,15000,15000,15000.0
Dhok Elahi Baksh,4,12000,18000,16500.0
Dhok Kashmirian,19,14000,28000,19736.842105263157
Dhok Mangtal,20,15000,15000,15000.0
Dhok Paracha,21,13000,40000,23904.761904761905
Dhok Sayedan Road,3,13000,17000,15333.333333333334
Dhoke Banaras Road,4,10000,14000,11250.0
Dhoke Ratta,1,22000,22000,22000.0
Doctors Housing Society,3,36000,55000,47000.0
Eastridge Housing Scheme,3,25000,35000,28666.666666666668
Faisal Colony,3,14000,24000,19333.333333333332
Farooq-e-Azam Road,50,10000,28000,21120.0
Fazaia Colony,3,45000,75000,65000.0
Fazal Town,6,18000,30000,22333.333333333332
Firdosi Road,1,60000,60000,60000.0
Friends Colony,1,15000,15000,15000.0
GT Road,2,24000,40000,32000.0
Garja,1,13000,13000,13000.0
Ghauri Town,3,15000,18000,16000.0
Ghousia Colony,1,27000,27000,27000.0
Girja Road,6,7000,13000,10000.0
Gulistan Colony,7,20000,45000,28285.714285714286
Gulraiz Housing Scheme,305,12000,45000,25437.70491803279
Gulshan Abad,19,10000,35000,23715.78947368421
Gulshan Dadan,2,23000,27000,25000.0
Gulzar-e-Quaid Housing Society,19,14000,42000,25210.526315789473
Harley Street,3,27000,28000,27666.666666666668
High Court Road,1,19000,19000,19000.0
Islamabad Highway,3,13000,75000,36000.0
Judicial Colony,7,20000,45000,36000.0
KRL Road,22,15000,30000,20000.0
Kalma Chowk,3,10000,10000,10000.0
Khayaban-e-Sir Syed,22,15000,25000,15863.636363636364
Khayaban-e-Tanveer,3,15000,30000,23333.333333333332
Khurram Colony,4,15000,22000,18250.0
Kurri Road,3,14000,15000,14333.333333333334
Lalazar,15,16500,45000,24566.666666666668
Lalkurti,3,26000,55000,43666.666666666664
Mangral Town,2,17000,22000,19500.0
Media Town,80,30000,28000000,384887.5
Misryal Road,13,12000,60000,21923.076923076922
Mohallah Raja Sultan,3,18000,25000,20666.666666666668
Morgah,2,25000,30000,27500.0
Mumtaz Colony,1,20000,20000,20000.0
Munawar Colony,2,25000,30000,27500.0
Muslim Town,30,12000,25000,18366.666666666668
New Lalazar,21,16000,50000,32952.380952380954
PIA Colony,6,15000,30000,19666.666666666668
PWD Colony,2,24000,30000,27000.0
Park View,1,45000,45000,45000.0
People Colony,18,11500,25000,16472.222222222223
Peshawar Road,37,16000,50000,27864.864864864863
Pindora,3,20000,26500,24000.0
Police Foundation Housing Scheme,4,8000,35000,27500.0
Qasimabad,1,32000,32000,32000.0
Quaid-e-Azam Colony,1,20000,20000,20000.0
Range Road,20,10000,30000,21250.0
Saddar,2,20000,42000,31000.0
Sadiqa Abad,1,22000,22000,22000.0
Sadiqabad,5,15000,30000,22400.0
Saidpur Road,6,25000,40000,34500.0
Sangar Town,2,16000,18000,17000.0
Sarwar Road,2,35000,45000,40000.0
Satellite Town,181,20000,70000,37267.955801104974
Shaheen Town,2,21000,8000000,4010500.0
Shakrial,2,11000,12000,11500.0
Shalley Valley,100,12000,13500000,175180.0
Shams Abad,6,15000,35000,27500.0
Sher Zaman Colony,4,22000,30000,26250.0
Tench Bhata,5,16000,21000,18800.0
Tipu Road,2,22000,38000,30000.0
Transformer Chowk,1,22000,22000,22000.0
Tulsa Road,11,15000,35000,22272.727272727272
Walait Homes,2,25000,30000,27500.0
Westridge,24,15000,75000,42375.0
Yousaf Colony,8,15000,30000,24125.0
