location,Property_counts,mean_price,min_price,max_price
Abdullah City,8502,1110400.0,12000,5500000
Abid Majeed Road,1098,21166666.666666668,14000000,32000000
Adiala Road,1054,6096044.1712204,8000,80000000
Affandi Colony,748,6558000.0,24000,25000000
Afshan Colony,747,4821121.8487394955,9000,33000000
Ahmad Abad,603,15925000.0,3200000,50000000
Air Force Housing Society,413,19963800.0,15000,48500000
Airport Housing Society,403,6807014.037433155,8000,65000000
Airport Road,403,7388444.444444444,12000,15000000
Akalgarh,346,8450000.0,4850000,11000000
Al-Haram City - Phase 2,302,3916666.6666666665,2700000,5200000
Al-Noor Colony,259,6805533.333333333,15000,13000000
Ali Abad,254,9000000.0,4500000,13000000
Ali Town,254,5453156.25,12000,16500000
Allahabad Road,246,7254333.333333333,20000,15000000
Allama Iqbal Colony,238,4453000.0,45000,13500000
Amarpura,226,11711750.0,12000,27500000
Ameen Town,215,7000000.0,7000000,7000000
Amer Pura,188,10400000.0,5800000,15000000
Aria Mohalla,150,6633954.545454546,10000,25000000
Army Officers Colony,122,19223933.333333332,9000,80000000
Asghar Mall Road,120,12423111.111111112,13000,82500000
Ashraf Colony,111,5475000.0,2200000,10500000
Askari 1,106,3256956.5217391304,32000,16000000
Askari 10,102,14110722.222222222,58000,35000000
Askari 11,101,20500000.0,14500000,25000000
Askari 12,97,24240785.714285713,70000,49000000
Askari 13,93,12935314.814814815,55000,45500000
Askari 14,90,11349026.011560693,15000,35000000
Askari 15,87,12507500.0,30000,18000000
Askari 2,83,3721900.0,35000,16500000
Askari 3,80,9270000.0,38000,15500000
Askari 4,79,5243185.185185186,37000,18500000
Askari 5,76,3634142.8571428573,68000,25000000
Askari 7,70,12667304.347826088,35000,47500000
Askari 8,68,77166.66666666667,45000,95000
Askari 9,63,8381666.666666667,55000,25000000
Aslam Shaheed Road,60,10922500.0,20000,22000000
Awan Town,58,6930000.0,3300000,12000000
Ayub Colony,56,8943739.130434783,16000,15500000
Ayub National Park,54,54000000.0,5000000,80000000
Azeem Town,51,23500.0,22000,25000
Azizabad,48,884750.0,11000,3500000
Babar Colony,46,5372666.666666667,18000,9200000
Badar Colony,43,7500000.0,7500000,7500000
Bagh Sardaran,41,13750000.0,13000000,16000000
Bahar Colony,39,4300000.0,3300000,6500000
Bahria Town Rawalpindi,39,9055684.86250294,1,550000000
Bakra Mandi,39,6031000.0,18000,14000000
Banaras Colony,36,5200000.0,3500000,7000000
Bangash Colony,36,8000000.0,7500000,8500000
Bankers Colony,35,2803750.0,15000,4000000
Banni Chowk,35,35000.0,35000,35000
Bethsaida Colony,34,19500000.0,19500000,19500000
Bilal Colony,34,8252142.857142857,10000,25000000
Bostan Road,33,6572200.0,22000,13500000
Bostan Valley,33,10604444.444444444,15000,18000000
CBR Town Phase 2,32,7840666.666666667,22000,12500000
CMH Road,31,20000000.0,20000000,20000000
Caltex Road,31,9593410.256410256,18000,26000000
Cantt,31,28943000.0,10000,88500000
Capital Awami Villas,29,949000.0,12000,2800000
Capital Smart City,29,13130310.344827587,913000,45000000
Chah Sultan,29,23816666.666666668,8900000,85000000
Chakbeli Road,28,24172500.0,35000,51500000
Chaklala,27,7625214.285714285,10000,40000000
Chaklala Scheme,27,7847068.827529022,3,100000000
Chakra,27,5470370.37037037,1500000,20000000
Chakra Road,26,4813160.714285715,15000,17000000
Chakri,26,20937500.0,2500000,100000000
Chakri Road,25,7792191.505319149,3,180000000
Chandni Chowk,24,11774076.923076924,20000,41500000
Chanman Abad,24,1686555.5555555555,16000,4900000
Chaudhary Jan Colony,23,10333333.333333334,9500000,11500000
Chaudhary Wilayat Khan Road,23,7540000.0,2200000,18000000
Chungi No. 22 Road,23,3013333.3333333335,10000,9000000
Chur Chowk,22,7591333.333333333,15000,30000000
City Villas,22,14166666.666666666,11500000,17500000
Civil Lines,22,56677666.666666664,33000,100000000
Clifton Township,21,9525882.352941176,15000,17500000
College Road,21,10625000.0,3000000,32500000
Commercial Market,20,24420655.172413792,19000,55000000
Committee Chowk,20,15158076.923076924,3000,90000000
Cricket Stadium Road,20,8090333.333333333,20000,20000000
DAV College Road,19,15124166.666666666,45000,55000000
Data Ganj Bakhsh Road,19,1800.0,1800,1800
Defence Colony,19,5271666.666666667,45000,30000000
Defence Road,18,6391632.075471698,8000,45000000
Dhamyal Road,18,4772492.063492063,8000,24000000
Dheri Hassanabad,18,7110454.545454546,15000,13000000
Dhok Babu Irfan,17,7800000.0,7800000,7800000
Dhok Chiragh Din,17,5338333.333333333,15000,8000000
Dhok Elahi Baksh,17,4304227.2727272725,10000,15000000
Dhok Gujran,17,5132300.0,15000,25000000
Dhok Hukamdad,16,13000000.0,13000000,13000000
Dhok Kala Khan,16,4029645.1612903224,5000,15000000
Dhok Kashmirian,16,4738827.868852459,8000,58000000
Dhok Mangtal,15,1138255.8139534884,15000,13000000
Dhok Mustaqeem Road,15,5388333.333333333,65000,9500000
Dhok Naju,15,13166666.666666666,4500000,22500000
Dhok Paracha,15,6430139.784946237,5000,28000000
Dhok Piran Faqiran,15,15000000.0,15000000,15000000
Dhok Sayedan Road,15,4691622.222222222,13000,15000000
Dhoke Banaras Road,15,3314227.272727273,6000,12000000
Dhoke Dalal Road,14,7120000.0,5600000,8500000
Dhoke Gangal,14,3656500.0,15000,9000000
