loc,loc_,loc_pair
G-10,488.0,"('G-10', 488.0)"
E-11,415.0,"('E-11', 415.0)"
G-15,493.0,"('G-15', 493.0)"
Bani Gala,211.0,"('Bani Gala', 211.0)"
DHA Defence,351.0,"('DHA Defence', 351.0)"
Ghauri Town,521.0,"('Ghauri Town', 521.0)"
Korang Town,834.0,"('Korang Town', 834.0)"
F-11,443.0,"('F-11', 443.0)"
Diplomatic Enclave,405.0,"('Diplomatic Enclave', 405.0)"
F-6,446.0,"('F-6', 446.0)"
B-17,181.0,"('B-17', 181.0)"
PWD Housing Scheme,1102.0,"('PWD Housing Scheme', 1102.0)"
G-11,489.0,"('G-11', 489.0)"
Bhara kahu,228.0,"('Bhara kahu', 228.0)"
Garden Town,509.0,"('Garden Town', 509.0)"
Koral Town,832.0,"('Koral Town', 832.0)"
Soan Garden,1373.0,"('Soan Garden', 1373.0)"
Blue Area,241.0,"('Blue Area', 241.0)"
F-7,447.0,"('F-7', 447.0)"
I-16,669.0,"('I-16', 669.0)"
E-7,420.0,"('E-7', 420.0)"
Pakistan Town,1108.0,"('Pakistan Town', 1108.0)"
Islamabad Expressway,697.0,"('Islamabad Expressway', 697.0)"
G-8,498.0,"('G-8', 498.0)"
Model Town,964.0,"('Model Town', 964.0)"
Multan Road,985.0,"('Multan Road', 985.0)"
Eden,423.0,"('Eden', 423.0)"
Gulberg,562.0,"('Gulberg', 562.0)"
Allama Iqbal Town,119.0,"('Allama Iqbal Town', 119.0)"
Military Accounts Housing Society,956.0,"('Military Accounts Housing Society', 956.0)"
EME Society,421.0,"('EME Society', 421.0)"
Izmir Town,709.0,"('Izmir Town', 709.0)"
Upper Mall,1456.0,"('Upper Mall', 1456.0)"
Cavalry Ground,273.0,"('Cavalry Ground', 273.0)"
Bahria Town,200.0,"('Bahria Town', 200.0)"
Askari,150.0,"('Askari', 150.0)"
Bedian Road,222.0,"('Bedian Road', 222.0)"
Agrics Town,35.0,"('Agrics Town', 35.0)"
Chaman Park,293.0,"('Chaman Park', 293.0)"
Chungi Amar Sadhu,315.0,"('Chungi Amar Sadhu', 315.0)"
GOR,501.0,"('GOR', 501.0)"
Karim Park,785.0,"('Karim Park', 785.0)"
Cantt,267.0,"('Cantt', 267.0)"
Valencia Housing Society,1460.0,"('Valencia Housing Society', 1460.0)"
Gulshan-e-Ravi,605.0,"('Gulshan-e-Ravi', 605.0)"
Al-Raheem Garden,99.0,"('Al-Raheem Garden', 99.0)"
Mateen Avenue,937.0,"('Mateen Avenue', 937.0)"
Paragon City,1113.0,"('Paragon City', 1113.0)"
IEP Engineers Town,674.0,"('IEP Engineers Town', 674.0)"
Muslim Town,997.0,"('Muslim Town', 997.0)"
Millat Town,960.0,"('Millat Town', 960.0)"
Raza Abad,1207.0,"('Raza Abad', 1207.0)"
Satiana Road,1291.0,"('Satiana Road', 1291.0)"
Humak,663.0,"('Humak', 663.0)"
Westridge,1483.0,"('Westridge', 1483.0)"
Bahria Town Rawalpindi,202.0,"('Bahria Town Rawalpindi', 202.0)"
Gulshan Abad,578.0,"('Gulshan Abad', 578.0)"
Media Town,943.0,"('Media Town', 943.0)"
Chaklala Scheme,288.0,"('Chaklala Scheme', 288.0)"
Chakri Road,292.0,"('Chakri Road', 292.0)"
Askari 14,156.0,"('Askari 14', 156.0)"
Askari 13,155.0,"('Askari 13', 155.0)"
Askari 12,154.0,"('Askari 12', 154.0)"
Judicial Colony,750.0,"('Judicial Colony', 750.0)"
Askari 10,152.0,"('Askari 10', 152.0)"
Gulshan-e-Iqbal,597.0,"('Gulshan-e-Iqbal', 597.0)"
Shalley Valley,1335.0,"('Shalley Valley', 1335.0)"
Chen One Road,308.0,"('Chen One Road', 308.0)"
Adiala Road,29.0,"('Adiala Road', 29.0)"
Chandni Chowk,294.0,"('Chandni Chowk', 294.0)"
Askari 15,157.0,"('Askari 15', 157.0)"
Gulistan-e-Jauhar,573.0,"('Gulistan-e-Jauhar', 573.0)"
Malir,912.0,"('Malir', 912.0)"
Gadap Town,505.0,"('Gadap Town', 505.0)"
Gulshan-e-Iqbal Town,598.0,"('Gulshan-e-Iqbal Town', 598.0)"
Scheme 33,1292.0,"('Scheme 33', 1292.0)"
Bath Island,217.0,"('Bath Island', 217.0)"
Abul Hassan Isphani Road,26.0,"('Abul Hassan Isphani Road', 26.0)"
Nazimabad,1035.0,"('Nazimabad', 1035.0)"
Falcon Complex Faisal,464.0,"('Falcon Complex Faisal', 464.0)"
Shahra-e-Faisal,1322.0,"('Shahra-e-Faisal', 1322.0)"
Gizri,529.0,"('Gizri', 529.0)"
