,id,FIPS,County,State,GOP Votes,Democratic Votes,Other Votes,Total Votes,% Democratic Vote,% GOP Vote,County Win Rate,Avg Daily Sunlight (KJ/m²),% Uninsured,% Unemployed,Providers,Black/White Segregation index,Drug Overdose Mortality Rate,Household Income,% Disconnected Youth,Teen Birth Rate,Violent Crime Rate,Voting Age Population,Population,Physically Unhealthy Days,PCP Rate,MHP Rate,Mentally Unhealthy Days,Income Ratio,Dentist Rate,Chlamydia Rate,Average Daily PM2.5,Association Rate,% Some College,% Smokers,% Single-Parent Households,% Severe Housing Problems,% Obese,% LBW,% Fair/Poor,% Excessive Drinking,% Drive Alone,% Physically Inactive,% Receiving HbA1c,% Mammography,% Long Commute - Drives Alone,% With Access,Food Environment Index,Graduation Rate,% Alcohol-Impaired,% Alcohol-Impaired CIH,% Alcohol-Impaired CIL,% Alcohol-Impaired Quartile,% Children in Poverty,% Children in Poverty - Black,% Children in Poverty - Hispanic,% Children in Poverty - White,% Children in Poverty CIH,% Children in Poverty CIL,% Children in Poverty Quartile,% Drive Alone - Black,% Drive Alone - Hispanic,% Drive Alone - White,% Drive Alone CIH,% Drive Alone CIL,% Drive Alone Quartile,% Excessive Drinking Quartile,% Excessive Drinking CIH,% Excessive Drinking CIL,% Long Commute CIH,% Long Commute CIL,% Long Commute Quartile,% Mammography CIH,% Mammography CIL,% Mammography Quartile,% Obese CIH,% Obese CIL,% Obese Quartile,% Severe Housing Problems CIH,% Severe Housing Problems CIL,% Severe Housing Problems Quartile,% Single-Parent Households CIH,% Single-Parent Households Quartile,% Smokers CIH,% Smokers CIL,% Smokers Quartile,% Some College CIH,% Some College CIL,% Some College Quartile,% With Access Quartile,Association Rate Quartile,Average Daily PM2.5 Quartile,Chlamydia Rate Quartile,Fair/Poor CIH,Fair/Poor CIL,Fair/Poor Quartile,Injury Death Rate,Injury Death Rate CIH,Injury Death Rate CIL,Injury Death Rate Quartile,Income Quartile,Graduation Rate Quartile,FEI Quartile,Mentally Unhealthy Days CIH,Mentally Unhealthy Days CIL,Mentally Unhealthy Days Quartile,MHP Quartile,PCP Quartile,Physically Inactive CIH,Physically Inactive CIL,Physically Inactive Quartile,Physically Unhealthy Days CIH,Physically Unhealthy Days CIL,Physically Unhealthy Days Quartile,Receiving HbA1c CIL,Receiving HbA1c CIH,Receiving HbA1c Quartile,Preventable Hosp. Rate CIH,Preventable Hosp. Rate CIL,Preventable Hosp. Rate Quartile,Teen Birth Rate CIH,Teen Birth Rate CIL,Teen Birth Rate Quartile,Violent Crime Quartile,YPLLR CIH,YPLLR CIL,YPLLR Quartile,Natural Increase Rate,Net Migration Rate,County Winner
0,1105,1105,Perry County,AL,1403,3823,29,5255,72.74976213130353,26.69838249286393,-46.0513796384396,17096.14,12.7,10.585520623017018,2.0,17.0,,26218,,40.0,,7724,1902.0,5.3,31.0,21.0,5.0,5.6,21.0,948.0,9.7,11.2,41.2,23.0,70.0,21.0,43.0,13.0,29.0,10.0,84.0,34.0,82.0,58.7,46.0,78.0,4.1,98.0,45.0,55.0,34.0,4.0,54.0,63.0,,22.0,67.0,41.0,4.0,81.0,,80.0,93.0,76.0,2.0,1.0,10.0,9.0,57.0,34.0,4.0,72.1,45.3,3.0,49.0,37.0,4.0,27.0,15.0,4.0,82.0,4.0,24.0,22.0,4.0,55.4,26.9,4.0,1.0,3.0,1.0,4.0,30.0,29.0,4.0,82.0,111.0,59.0,3.0,4.0,1.0,4.0,5.2,4.8,4.0,3.0,3.0,39.0,28.0,4.0,5.5,5.1,4.0,71.0,93.0,4.0,79.0,55.0,2.0,47.0,33.0,1.0,3.0,16639.0,11060.0,4.0,-3.4273251289999997,-7.373941942999999,Normal Houses
1,2013,2013,Aleutians East Borough,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,37.4,2.7221777421937547,1.0,,,57015,,46.0,,1874,1024.0,3.6,,60.0,2.8,3.7,30.0,259.0,,8.9,41.1,19.0,37.0,10.0,33.0,,16.0,18.0,18.0,27.0,,,1.0,31.0,5.7,,,,,,16.0,,23.0,26.0,20.0,11.0,,4.0,6.0,35.0,23.0,13.0,,,18.0,17.0,7.0,0.0,,,,,41.0,27.0,,14.0,6.0,,44.0,,20.0,19.0,,48.1,34.1,,,,,,17.0,16.0,,,,,,,,,2.9,2.7,,,,33.0,22.0,,3.7,3.4,,,,,,,,,,,,,,,2.7219113867,-13.00468774,Luxrious Houses
2,2050,2050,Bethel Census Area,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,24.6,14.09233399829011,1.0,,,44849,35.0,82.0,,11295,4531.0,5.2,101.0,1577.0,4.6,4.5,123.0,2326.0,,3.9,34.8,31.0,34.0,62.0,30.0,6.0,25.0,20.0,26.0,26.0,25.0,26.7,1.0,7.0,2.4,54.0,60.0,75.0,38.0,3.0,32.0,,16.0,1.0,40.0,23.0,4.0,,,37.0,30.0,22.0,1.0,2.0,21.0,19.0,3.0,0.0,1.0,38.4,15.0,4.0,35.0,26.0,3.0,66.0,58.0,4.0,38.0,3.0,32.0,30.0,4.0,38.8,30.7,4.0,4.0,4.0,1.0,4.0,25.0,24.0,4.0,149.0,174.0,123.0,4.0,3.0,4.0,4.0,4.8,4.3,4.0,1.0,2.0,30.0,23.0,4.0,5.5,5.0,4.0,12.0,38.0,4.0,135.0,90.0,4.0,90.0,75.0,4.0,2.0,14133.0,10280.0,4.0,16.319483124,-14.81563997,Luxrious Houses
3,2068,2068,Denali Borough,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,19.1,8.581752484191508,1.0,,,73000,,,,1548,623.0,3.1,0.0,,3.1,3.2,0.0,268.0,,20.8,81.4,17.0,7.0,25.0,27.0,,12.0,22.0,44.0,16.0,74.0,,24.0,35.0,5.9,,29.0,50.0,9.0,2.0,10.0,,,5.0,13.0,7.0,1.0,,,46.0,50.0,38.0,2.0,4.0,23.0,21.0,32.0,15.0,4.0,,,3.0,33.0,22.0,1.0,33.0,17.0,3.0,13.0,1.0,18.0,17.0,2.0,89.0,73.7,1.0,3.0,1.0,1.0,1.0,12.0,11.0,1.0,,,,3.0,1.0,2.0,3.0,3.2,2.9,1.0,2.0,4.0,20.0,11.0,1.0,3.3,2.9,1.0,35.0,100.0,3.0,,,3.0,,,3.0,2.0,,,3.0,10.346611485,3.6213140197,Luxrious Houses
4,2070,2070,Dillingham Census Area,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,23.3,9.682299546142211,1.0,,,50753,30.0,51.0,,3365,1180.0,4.8,221.0,660.0,4.2,4.9,160.0,1657.0,,6.0,46.7,30.0,34.0,36.0,38.0,7.0,21.0,20.0,38.0,25.0,,,3.0,52.0,5.5,,75.0,86.0,57.0,3.0,30.0,,,,39.0,22.0,4.0,,,39.0,41.0,34.0,2.0,2.0,21.0,19.0,7.0,0.0,2.0,,,3.0,44.0,32.0,4.0,41.0,31.0,3.0,40.0,3.0,30.0,29.0,4.0,53.1,40.3,4.0,2.0,4.0,1.0,4.0,22.0,21.0,4.0,196.0,259.0,145.0,4.0,4.0,2.0,3.0,4.4,4.1,3.0,1.0,1.0,30.0,20.0,3.0,5.1,4.6,4.0,,,3.0,96.0,39.0,4.0,63.0,40.0,3.0,2.0,16919.0,10203.0,4.0,10.047221943,-18.88877725,Luxrious Houses
5,2090,2090,Fairbanks North Star Borough,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,14.1,5.655342964987635,1.0,56.0,13.0,70881,10.0,33.0,,72964,30229.0,3.1,77.0,514.0,3.1,3.8,124.0,744.0,,10.3,73.1,16.0,30.0,23.0,28.0,6.0,11.0,23.0,74.0,18.0,78.0,58.0,14.0,65.0,7.1,70.0,38.0,45.0,30.0,2.0,10.0,2.0,10.0,8.0,13.0,7.0,1.0,69.0,74.0,76.0,76.0,72.0,4.0,4.0,23.0,22.0,16.0,12.0,4.0,63.8,52.2,1.0,30.0,26.0,1.0,26.0,21.0,3.0,36.0,2.0,17.0,16.0,1.0,77.3,69.0,1.0,2.0,3.0,1.0,3.0,12.0,11.0,1.0,69.0,77.0,62.0,1.0,2.0,4.0,2.0,3.2,3.0,1.0,2.0,2.0,20.0,16.0,2.0,3.2,3.0,1.0,71.0,85.0,1.0,22.0,15.0,1.0,36.0,31.0,2.0,2.0,7161.0,6047.0,1.0,12.035316912999999,-2.1373923809999997,Luxrious Houses
6,2105,2105,Hoonah-Angoon Census Area,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,24.4,11.480865224625626,1.0,,,53726,,,,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4299332697999998,-22.87893232,Luxrious Houses
7,2122,2122,Kenai Peninsula Borough,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,18.9,8.154032880944499,1.0,36.0,20.0,62025,17.0,27.0,,43435,13602.0,3.7,78.0,143.0,3.3,4.6,64.0,380.0,,15.7,60.2,18.0,26.0,20.0,28.0,4.0,13.0,21.0,67.0,20.0,77.0,56.0,16.0,59.0,7.6,82.0,22.0,31.0,15.0,1.0,14.0,,22.0,9.0,17.0,11.0,2.0,,65.0,71.0,69.0,65.0,4.0,3.0,22.0,21.0,19.0,14.0,4.0,61.4,50.5,2.0,31.0,26.0,2.0,22.0,18.0,2.0,30.0,1.0,19.0,18.0,3.0,64.6,55.8,2.0,2.0,2.0,1.0,1.0,14.0,13.0,2.0,92.0,103.0,81.0,3.0,3.0,1.0,2.0,3.4,3.1,3.0,3.0,2.0,22.0,18.0,2.0,3.9,3.5,3.0,71.0,83.0,2.0,44.0,34.0,2.0,30.0,24.0,2.0,2.0,8239.0,6564.0,2.0,4.1355641356,4.187044187,Luxrious Houses
8,2150,2150,Kodiak Island Borough,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,21.0,4.971170328814088,1.0,,,67515,,27.0,,9238,3859.0,3.2,122.0,245.0,2.9,3.8,79.0,382.0,,13.6,66.4,16.0,33.0,21.0,30.0,5.0,13.0,21.0,61.0,20.0,83.0,51.4,3.0,99.0,7.9,90.0,67.0,82.0,39.0,3.0,9.0,,6.0,10.0,12.0,7.0,1.0,,66.0,65.0,66.0,57.0,3.0,2.0,21.0,20.0,5.0,1.0,2.0,64.8,37.9,4.0,35.0,25.0,2.0,26.0,16.0,2.0,42.0,3.0,17.0,16.0,1.0,74.9,57.9,2.0,1.0,2.0,1.0,1.0,13.0,13.0,2.0,73.0,96.0,54.0,1.0,2.0,1.0,1.0,3.0,2.8,1.0,3.0,1.0,24.0,16.0,2.0,3.3,3.0,1.0,68.0,99.0,1.0,76.0,44.0,3.0,33.0,21.0,1.0,2.0,7846.0,4948.0,1.0,12.572217579,-16.64183714,Luxrious Houses
9,2158,2158,Kusilvak Census Area,AK,130413,93003,23172,246588,37.715947248041275,52.88700180057425,15.171054552532976,,22.9,21.278195488721806,,,,33511,,,,4680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.481990345,-22.40376284,Luxrious Houses
